,ProductRelated,ProductRelated_Duration
608,"[120.0, 140.0)",4115.978571
774,"[120.0, 140.0)",6931.049725
816,"[120.0, 140.0)",4313.139103
949,"[120.0, 140.0)",3098.912088
966,"[120.0, 140.0)",3394.130159
1166,"[120.0, 140.0)",1945.321429
1463,"[120.0, 140.0)",7604.397831
1481,"[120.0, 140.0)",4994.848002
1817,"[120.0, 140.0)",4966.520661
1948,"[120.0, 140.0)",7141.214642
2137,"[120.0, 140.0)",3313.455754
2151,"[120.0, 140.0)",4885.049069
2178,"[120.0, 140.0)",6566.867562
2244,"[120.0, 140.0)",7012.266796
2261,"[120.0, 140.0)",4096.15859
2263,"[120.0, 140.0)",3713.580105
2323,"[120.0, 140.0)",3934.201024
2394,"[120.0, 140.0)",5276.227193
2439,"[120.0, 140.0)",3247.644636
2449,"[120.0, 140.0)",4173.131061
2492,"[120.0, 140.0)",6225.988835
2500,"[120.0, 140.0)",6483.0804
2535,"[120.0, 140.0)",3197.290064
2571,"[120.0, 140.0)",4442.394444
2576,"[120.0, 140.0)",3418.696975
2789,"[120.0, 140.0)",5091.890896
2816,"[120.0, 140.0)",3865.838889
372,"[140.0, 160.0)",8961.407671
679,"[140.0, 160.0)",6223.870847
701,"[140.0, 160.0)",5577.826456
909,"[140.0, 160.0)",5432.836783
1349,"[140.0, 160.0)",7835.874629
1406,"[140.0, 160.0)",4565.930621
1437,"[140.0, 160.0)",16093.30941
1499,"[140.0, 160.0)",2184.484938
1513,"[140.0, 160.0)",2810.797158
1631,"[140.0, 160.0)",2650.780526
1717,"[140.0, 160.0)",4935.536124
1750,"[140.0, 160.0)",4800.574762
1822,"[140.0, 160.0)",5149.434919
1858,"[140.0, 160.0)",5253.069444
1908,"[140.0, 160.0)",3697.731633
1919,"[140.0, 160.0)",9018.123741
1946,"[140.0, 160.0)",3231.853672
1983,"[140.0, 160.0)",7838.556598
2185,"[140.0, 160.0)",6123.741494
2188,"[140.0, 160.0)",5962.732411
2273,"[140.0, 160.0)",8613.257312
2356,"[140.0, 160.0)",8150.556716
2667,"[140.0, 160.0)",4838.29406
2746,"[140.0, 160.0)",4777.812554
499,"[160.0, 180.0)",5349.563713
1015,"[160.0, 180.0)",5996.025
1060,"[160.0, 180.0)",12634.62089
1500,"[160.0, 180.0)",4948.398759
1966,"[160.0, 180.0)",6920.973243
2092,"[160.0, 180.0)",4877.122575
2116,"[160.0, 180.0)",6014.398401
2171,"[160.0, 180.0)",5080.233631
2173,"[160.0, 180.0)",3457.628812
2215,"[160.0, 180.0)",10415.78364
2294,"[160.0, 180.0)",8276.292565
2715,"[160.0, 180.0)",7767.32556
2744,"[160.0, 180.0)",7128.75377
371,"[180.0, 200.0)",6737.271825
716,"[180.0, 200.0)",3057.809524
728,"[180.0, 200.0)",6842.002513
1096,"[180.0, 200.0)",4079.530461
1586,"[180.0, 200.0)",3677.258176
2128,"[180.0, 200.0)",5106.262991
2290,"[180.0, 200.0)",2915.571429
2587,"[180.0, 200.0)",7980.363439
2619,"[180.0, 200.0)",8425.870475
2837,"[180.0, 200.0)",6784.671131
872,"[200.0, 220.0)",4153.276587
1984,"[200.0, 220.0)",7761.034859
2254,"[200.0, 220.0)",8217.678753
2440,"[200.0, 220.0)",4295.305066
2446,"[200.0, 220.0)",8125.852288
1336,"[220.0, 240.0)",2477.53655
1403,"[220.0, 240.0)",6978.613711
1839,"[220.0, 240.0)",9956.225533
2127,"[220.0, 240.0)",9049.534024
2551,"[220.0, 240.0)",11246.13379
2679,"[220.0, 240.0)",8068.742154
2807,"[220.0, 240.0)",9230.890838
2860,"[220.0, 240.0)",11431.00124
1644,"[240.0, 260.0)",9227.371429
2087,"[240.0, 260.0)",7569.248612
823,"[260.0, 280.0)",4758.380638
1708,"[260.0, 280.0)",12292.46381
2361,"[260.0, 280.0)",9770.812093
2681,"[260.0, 280.0)",9485.374568
1924,"[280.0, 300.0)",8282.214508
2277,"[280.0, 300.0)",9247.383869
2763,"[280.0, 300.0)",11240.97669
700,"[300.0, 320.0)",7428.181584
1381,"[300.0, 320.0)",8468.339278
1985,"[300.0, 320.0)",12158.19639
