Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y
Male,No,0,Graduate,No,6000,0.0,141,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3036,2504.0,158,360,0,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban,Y
Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,N
Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y
Male,Yes,2,Graduate,No,3073,8106.0,200,360,1,Urban,Y
Male,No,0,Graduate,No,1853,2840.0,114,360,1,Rural,N
Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y
Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y
Female,No,0,Graduate,No,3510,0.0,76,360,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,N
Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N
Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y
Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N
Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,N
Male,No,1,Graduate,Yes,4692,0.0,106,360,1,Rural,N
Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y
Male,No,3+,Graduate,No,12500,3000.0,320,360,1,Rural,N
Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,Y
Male,No,0,Graduate,No,4166,7210.0,184,360,1,Urban,Y
Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y
Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,N
Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y
Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y
Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N
Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y
Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N
Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N
Female,Yes,1,Graduate,Yes,11500,0.0,286,360,0,Urban,N
Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y
