,age,job,education,balance,pdays,deposit
0,33,services,secondary,3444,91,yes
1,56,technician,secondary,589,147,yes
2,34,admin.,tertiary,899,170,yes
3,53,retired,tertiary,2269,150,yes
4,37,technician,secondary,5115,171,yes
5,45,entrepreneur,secondary,781,126,yes
6,46,unemployed,secondary,3354,174,yes
7,40,management,tertiary,3352,27,yes
8,32,technician,tertiary,4654,128,yes
9,30,blue-collar,secondary,501,177,yes
10,46,technician,tertiary,0,167,yes
11,38,entrepreneur,tertiary,1110,183,yes
12,32,services,secondary,983,133,yes
13,31,unemployed,secondary,314,178,yes
14,50,blue-collar,primary,12519,34,yes
15,47,technician,secondary,0,10,yes
16,59,management,tertiary,7049,163,yes
17,31,management,secondary,8629,184,yes
18,53,blue-collar,secondary,1777,154,yes
19,31,unknown,secondary,111,93,yes
20,40,technician,tertiary,1646,242,yes
21,44,unemployed,secondary,0,272,yes
22,43,admin.,secondary,-247,76,yes
23,54,technician,secondary,2156,195,yes
24,31,management,tertiary,1331,90,yes
25,28,self-employed,tertiary,0,196,yes
26,32,admin.,secondary,678,246,yes
27,41,self-employed,tertiary,-94,203,yes
28,31,technician,tertiary,1109,167,yes
29,26,entrepreneur,secondary,101,268,yes
30,31,management,tertiary,12857,92,yes
31,33,blue-collar,tertiary,700,88,yes
32,34,admin.,secondary,0,85,yes
33,40,blue-collar,secondary,5060,93,yes
34,37,admin.,secondary,1314,210,yes
35,33,management,tertiary,3552,85,yes
36,30,management,tertiary,5561,100,yes
37,50,management,unknown,8345,261,yes
38,60,retired,secondary,404,196,yes
39,31,management,tertiary,883,106,yes
40,44,management,tertiary,483,199,yes
41,37,unemployed,tertiary,1316,112,yes
42,37,services,secondary,1045,41,yes
43,30,management,tertiary,8089,294,yes
44,34,technician,secondary,390,231,yes
45,50,management,tertiary,414,302,yes
46,55,blue-collar,secondary,1613,270,yes
47,41,self-employed,secondary,3123,135,yes
48,54,entrepreneur,unknown,4736,307,yes
49,33,technician,tertiary,127,222,yes
50,37,admin.,secondary,1207,138,yes
51,48,management,secondary,4415,141,yes
52,32,technician,secondary,303,267,yes
53,38,blue-collar,secondary,2580,264,yes
54,41,services,secondary,803,316,yes
55,33,technician,secondary,719,316,yes
56,45,blue-collar,secondary,96,256,yes
57,33,management,tertiary,0,328,yes
58,33,admin.,secondary,572,74,yes
59,44,admin.,secondary,0,148,yes
60,43,services,primary,2557,327,yes
61,32,services,secondary,1129,341,yes
62,38,management,tertiary,6158,145,yes
63,52,entrepreneur,tertiary,3469,147,yes
64,35,technician,secondary,545,234,yes
65,32,services,secondary,1273,328,yes
66,32,technician,tertiary,932,318,yes
67,40,services,primary,471,345,yes
68,32,management,tertiary,294,274,yes
69,34,blue-collar,primary,329,343,yes
70,37,blue-collar,primary,3154,305,yes
71,29,technician,secondary,1180,323,yes
