age,job,education,balance,pdays,deposit
33,services,secondary,3444,91,yes
56,technician,secondary,589,147,yes
34,admin.,tertiary,899,170,yes
53,retired,tertiary,2269,150,yes
37,technician,secondary,5115,171,yes
45,entrepreneur,secondary,781,126,yes
46,unemployed,secondary,3354,174,yes
40,management,tertiary,3352,27,yes
32,technician,tertiary,4654,128,yes
30,blue-collar,secondary,501,177,yes
46,technician,tertiary,0,167,yes
38,entrepreneur,tertiary,1110,183,yes
32,services,secondary,983,133,yes
31,unemployed,secondary,314,178,yes
50,blue-collar,primary,12519,34,yes
47,technician,secondary,0,10,yes
59,management,tertiary,7049,163,yes
31,management,secondary,8629,184,yes
53,blue-collar,secondary,1777,154,yes
40,technician,tertiary,1646,242,yes
44,unemployed,secondary,0,272,yes
43,admin.,secondary,-247,76,yes
54,technician,secondary,2156,195,yes
31,management,tertiary,1331,90,yes
28,self-employed,tertiary,0,196,yes
32,admin.,secondary,678,246,yes
41,self-employed,tertiary,-94,203,yes
31,technician,tertiary,1109,167,yes
26,entrepreneur,secondary,101,268,yes
31,management,tertiary,12857,92,yes
33,blue-collar,tertiary,700,88,yes
34,admin.,secondary,0,85,yes
40,blue-collar,secondary,5060,93,yes
37,admin.,secondary,1314,210,yes
33,management,tertiary,3552,85,yes
30,management,tertiary,5561,100,yes
60,retired,secondary,404,196,yes
31,management,tertiary,883,106,yes
44,management,tertiary,483,199,yes
37,unemployed,tertiary,1316,112,yes
37,services,secondary,1045,41,yes
30,management,tertiary,8089,294,yes
34,technician,secondary,390,231,yes
50,management,tertiary,414,302,yes
55,blue-collar,secondary,1613,270,yes
41,self-employed,secondary,3123,135,yes
33,technician,tertiary,127,222,yes
37,admin.,secondary,1207,138,yes
48,management,secondary,4415,141,yes
32,technician,secondary,303,267,yes
38,blue-collar,secondary,2580,264,yes
41,services,secondary,803,316,yes
33,technician,secondary,719,316,yes
45,blue-collar,secondary,96,256,yes
33,management,tertiary,0,328,yes
33,admin.,secondary,572,74,yes
44,admin.,secondary,0,148,yes
43,services,primary,2557,327,yes
32,services,secondary,1129,341,yes
38,management,tertiary,6158,145,yes
52,entrepreneur,tertiary,3469,147,yes
35,technician,secondary,545,234,yes
32,services,secondary,1273,328,yes
32,technician,tertiary,932,318,yes
40,services,primary,471,345,yes
32,management,tertiary,294,274,yes
34,blue-collar,primary,329,343,yes
37,blue-collar,primary,3154,305,yes
29,technician,secondary,1180,323,yes
34,management,secondary,879,344,yes
53,technician,secondary,5303,180,yes
28,technician,tertiary,387,82,yes
29,self-employed,secondary,123,181,yes
33,admin.,tertiary,882,183,yes
53,management,tertiary,3754,278,yes
37,management,tertiary,0,153,yes
32,management,tertiary,2974,4,yes
31,technician,tertiary,1081,261,yes
29,admin.,secondary,7707,334,yes
38,services,secondary,1970,176,yes
47,technician,secondary,1167,87,yes
52,management,tertiary,193,269,yes
36,unemployed,tertiary,1291,86,yes
47,blue-collar,secondary,1230,169,yes
36,admin.,secondary,96,87,yes
23,student,secondary,0,83,yes
29,management,tertiary,697,85,yes
58,management,tertiary,5701,87,yes
48,blue-collar,secondary,292,79,yes
42,technician,tertiary,757,79,yes
42,blue-collar,primary,201,85,yes
30,management,tertiary,398,6,yes
35,management,tertiary,1750,9,yes
35,management,tertiary,193,13,yes
35,admin.,tertiary,994,87,yes
42,management,tertiary,6060,350,yes
33,management,tertiary,55,87,yes
53,management,tertiary,1624,84,yes
26,admin.,secondary,255,80,yes
30,admin.,secondary,270,80,yes
38,management,tertiary,613,86,yes
29,technician,secondary,674,13,yes
47,management,tertiary,86,87,yes
34,management,tertiary,1228,84,yes
54,technician,secondary,2156,86,yes
46,management,tertiary,699,87,yes
47,blue-collar,primary,2749,164,yes
33,blue-collar,tertiary,700,80,yes
54,technician,secondary,0,84,yes
31,management,tertiary,354,9,yes
30,admin.,tertiary,305,85,yes
28,unemployed,primary,236,87,yes
33,management,tertiary,5437,91,yes
41,blue-collar,secondary,5060,83,yes
38,technician,secondary,902,90,yes
47,technician,secondary,335,76,yes
49,management,tertiary,1,175,yes
33,technician,tertiary,1636,66,yes
60,technician,secondary,316,263,yes
32,student,tertiary,1138,83,yes
36,self-employed,secondary,188,333,yes
35,management,tertiary,520,17,yes
30,self-employed,tertiary,2666,89,yes
39,management,tertiary,1515,167,yes
39,management,tertiary,2454,263,yes
35,entrepreneur,secondary,2971,164,yes
59,retired,secondary,514,90,yes
35,student,secondary,188,78,yes
31,blue-collar,secondary,196,341,yes
30,technician,secondary,-522,286,yes
27,admin.,secondary,710,334,yes
37,technician,secondary,141,364,yes
30,management,tertiary,415,343,yes
34,entrepreneur,tertiary,0,183,yes
36,management,tertiary,7506,188,yes
32,admin.,secondary,752,166,yes
49,management,secondary,99,343,yes
33,management,secondary,3935,342,yes
31,management,tertiary,59,363,yes
40,management,tertiary,1598,344,yes
42,blue-collar,primary,1461,170,yes
36,management,tertiary,4,342,yes
30,services,secondary,-271,337,yes
29,technician,tertiary,0,337,yes
43,management,tertiary,1429,169,yes
31,admin.,secondary,0,295,yes
42,unemployed,secondary,356,356,yes
45,services,secondary,608,323,yes
45,blue-collar,secondary,-184,170,yes
39,admin.,secondary,2345,344,yes
57,admin.,secondary,6005,323,yes
42,management,tertiary,4,295,yes
57,management,tertiary,830,367,yes
47,retired,primary,1374,359,yes
42,management,tertiary,-556,347,yes
41,admin.,secondary,-109,370,yes
43,management,tertiary,580,284,yes
38,services,secondary,5293,171,yes
34,admin.,secondary,479,350,yes
38,housemaid,primary,199,306,yes
39,management,tertiary,5073,286,yes
39,admin.,secondary,607,364,yes
47,services,secondary,367,306,yes
35,blue-collar,secondary,855,300,yes
46,blue-collar,primary,804,361,yes
59,admin.,secondary,145,287,yes
36,blue-collar,primary,319,301,yes
33,technician,secondary,221,355,yes
28,admin.,secondary,451,301,yes
42,blue-collar,secondary,1080,370,yes
34,management,tertiary,76,371,yes
35,management,tertiary,1396,300,yes
51,blue-collar,primary,-19,296,yes
50,technician,secondary,-54,292,yes
40,blue-collar,primary,830,370,yes
36,admin.,secondary,437,344,yes
31,self-employed,tertiary,17924,174,yes
55,blue-collar,primary,8180,360,yes
35,blue-collar,secondary,4963,300,yes
31,admin.,secondary,8781,177,yes
48,blue-collar,primary,214,177,yes
41,blue-collar,secondary,580,363,yes
34,management,tertiary,273,175,yes
36,self-employed,tertiary,1354,356,yes
35,blue-collar,secondary,336,346,yes
31,blue-collar,secondary,953,346,yes
30,admin.,secondary,315,346,yes
42,services,secondary,146,346,yes
56,services,secondary,-40,368,yes
26,services,secondary,77,340,yes
35,admin.,secondary,534,312,yes
35,housemaid,tertiary,1265,179,yes
31,admin.,secondary,685,329,yes
29,services,secondary,6567,298,yes
39,entrepreneur,secondary,2139,371,yes
54,unemployed,secondary,582,372,yes
25,admin.,secondary,507,367,yes
48,blue-collar,secondary,480,352,yes
40,admin.,secondary,2574,176,yes
36,admin.,secondary,148,374,yes
37,blue-collar,primary,2120,175,yes
51,management,tertiary,297,375,yes
