Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
