Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Browser,Region
0,0,0,0,1,0,0.2,0.2,1,1
0,0,0,0,2,64,0,0.1,2,1
0,0,0,0,1,0,0.2,0.2,1,9
0,0,0,0,2,2.666666667,0.05,0.14,2,2
0,0,0,0,10,627.5,0.02,0.05,3,1
0,0,0,0,19,154.2166667,0.015789474,0.024561404,2,1
0,0,0,0,1,0,0.2,0.2,4,3
1,0,0,0,0,0,0.2,0.2,2,1
0,0,0,0,2,37,0,0.1,2,2
0,0,0,0,3,738,0,0.022222222,4,1
0,0,0,0,3,395,0,0.066666667,1,3
0,0,0,0,16,407.75,0.01875,0.025833333,1,4
0,0,0,0,7,280.5,0,0.028571429,1,1
0,0,0,0,6,98,0,0.066666667,5,1
0,0,0,0,2,68,0,0.1,2,3
2,53,0,0,23,1668.285119,0.008333333,0.016312636,1,9
0,0,0,0,1,0,0.2,0.2,1,4
0,0,0,0,13,334.9666667,0,0.007692308,1,1
0,0,0,0,2,32,0,0.1,2,1
0,0,0,0,20,2981.166667,0,0.01,4,4
0,0,0,0,8,136.1666667,0,0.008333333,2,5
0,0,0,0,2,0,0.2,0.2,3,1
0,0,0,0,3,105,0,0.033333333,2,1
0,0,0,0,2,15,0,0.1,4,1
0,0,0,0,1,0,0.2,0.2,2,4
0,0,0,0,5,156,0,0.04,1,9
4,64.6,0,0,32,1135.444444,0.002857143,0.00952381,2,1
0,0,0,0,4,76,0.05,0.1,1,1
0,0,0,0,4,63,0,0.05,6,1
1,6,1,0,45,1582.75,0.043478261,0.050821256,2,1
0,0,0,0,2,35,0,0.1,1,6
0,0,0,0,3,78,0,0.066666667,2,6
0,0,0,0,8,209.5,0,0.025,2,1
0,0,0,0,10,183.6666667,0.04,0.08,1,3
0,0,0,0,14,380.5,0.014285714,0.028571429,2,1
0,0,0,0,52,2086.242857,0.015384615,0.020352564,2,7
0,0,0,0,8,388,0.025,0.05625,2,1
2,18,0,0,5,298,0,0.028571429,2,8
0,0,0,0,7,63,0.028571429,0.071428571,2,1
0,0,0,0,9,482,0,0.022222222,5,1
1,9,0,0,46,4084.393939,0,0.001794872,2,8
0,0,0,0,3,22,0,0.066666667,1,3
0,0,0,0,15,310.1666667,0,0.006666667,1,4
0,0,0,0,2,34,0,0.05,2,2
0,0,0,0,4,88,0,0.05,1,1
0,0,0,0,22,622.25,0.003030303,0.006060606,5,1
0,0,0,0,14,222.4,0.017142857,0.057142857,1,1
0,0,0,0,3,80,0.066666667,0.133333333,2,1
0,0,0,0,11,800.8333333,0,0.003636364,2,1
0,0,0,0,1,0,0.2,0.2,2,3
0,0,0,0,1,0,0.2,0.2,1,3
0,0,0,0,12,265.1666667,0.011111111,0.026111111,2,1
0,0,0,0,2,29,0,0.1,4,4
0,0,0,0,4,160,0,0.075,2,2
0,0,0,0,4,135.6666667,0.05,0.025,3,1
0,0,0,0,1,0,0.2,0.2,4,1
0,0,0,0,1,0,0.2,0.2,2,3
4,56,2,120,36,998.7416667,0,0.014736467,2,4
0,0,0,0,4,104,0,0.05,6,6
2,16,0,0,16,381.6865079,0.011764706,0.046568627,4,2
0,0,0,0,6,169,0,0.016666667,1,3
0,0,0,0,8,400.8,0.05,0.120833333,1,1
12,279.4166667,0,0,42,1553.583333,0.009,0.019666667,1,3
0,0,0,0,14,706.5,0,0.007142857,2,5
0,0,0,0,1,0,0.2,0.2,2,4
3,87.83333333,0,0,27,798.3333333,0,0.012643678,2,3
4,44,0,0,90,6951.972222,0.002150538,0.015013034,1,1
0,0,0,0,1,0,0.2,0.2,2,5
0,0,0,0,18,902,0,0.007407407,7,2
0,0,0,0,1,0,0.2,0.2,2,3
0,0,0,0,1,0,0.2,0.2,6,1
0,0,0,0,20,197.3777778,0.025,0.0525,6,6
0,0,0,0,2,43,0,0.1,2,3
0,0,0,0,8,426.6666667,0,0.0125,4,3
0,0,0,0,3,135,0,0.066666667,4,3
0,0,0,0,16,588.3333333,0,0.025,4,1
10,1005.666667,0,0,36,2111.341667,0.004347826,0.014492754,6,1
0,0,0,0,2,76,0,0.05,2,3
0,0,0,0,1,0,0.2,0.2,1,1
0,0,0,0,1,0,0.2,0.2,1,1
0,0,0,0,7,208,0,0.028571429,1,1
0,0,0,0,4,270,0,0.016666667,1,1
0,0,0,0,6,39.5,0,0.02,2,1
0,0,0,0,12,375,0.016666667,0.058333333,2,4
0,0,0,0,1,0,0.2,0.2,2,2
0,0,0,0,1,0,0.2,0.2,1,1
0,0,0,0,7,150,0.057142857,0.085714286,2,2
0,0,0,0,3,138,0,0.066666667,1,1
0,0,0,0,7,337.5,0.028571429,0.023809524,1,3
0,0,0,0,19,620.0333333,0,0.007894737,1,4
2,36,0,0,15,168.8461538,0,0.011764706,1,1
0,0,0,0,1,0,0.2,0.2,1,1
0,0,0,0,2,52,0,0.1,1,1
0,0,0,0,13,649.25,0,0.015384615,2,1
0,0,0,0,27,925.3333333,0.003703704,0.025925926,1,3
0,0,0,0,2,33,0,0.1,1,1
0,0,0,0,6,1566.5,0.05,0.066666667,1,1
0,0,0,0,4,105,0,0.025,1,1
0,0,1,0,7,50,0.038095238,0.080952381,4,1
0,0,0,0,16,644.2,0.004166667,0.031666667,2,3
3,18.33333333,0,0,38,2635.177778,0,0.008947368,4,1
4,61,0,0,19,607,0,0.026984127,1,7
0,0,0,0,6,415,0,0.033333333,1,3
2,31,1,16,36,2083.530952,0,0.01351025,2,4
3,58.5,0,0,17,281.6666667,0.007058824,0.017647059,1,3
0,0,0,0,2,27,0.15,0.15,1,7
0,0,1,0,9,215,0.044444444,0.074074074,1,1
0,0,0,0,12,162,0.05,0.066666667,1,1
0,0,0,0,2,114,0.05,0.066666667,3,1
6,326.25,4,94,128,5062.213753,0.000854701,0.01791847,5,1
0,0,0,0,4,253,0,0.016666667,2,3
0,0,0,0,4,0,0.2,0.2,2,1
0,0,0,0,1,0,0.2,0.2,1,2
2,22,0,0,25,436.5,0.008,0.024,4,1
0,0,1,93,30,1045.833333,0.012903226,0.035483871,1,1
0,0,0,0,12,317.8333333,0,0.005555556,1,1
0,0,0,0,21,1146.333333,0,0.012962963,2,1
0,0,0,0,11,577,0.018181818,0.027272727,2,3
0,0,0,0,8,95,0,0.075,1,3
0,0,0,0,6,301.5,0,0.111111111,4,9
0,0,0,0,6,243,0,0.033333333,4,4
0,0,0,0,4,135.5,0,0.05,2,1
0,0,2,75,14,442.3333333,0,0.034375,1,3
0,0,0,0,3,41,0,0.066666667,1,3
0,0,0,0,11,292.9,0.028,0.11952381,4,3
0,0,0,0,1,0,0.2,0.2,1,3
0,0,0,0,9,1238.333333,0,0.040740741,2,1
0,0,0,0,10,225.4666667,0,0.05,1,8
4,462,0,0,51,1873.216667,0,0.00754717,2,9
