Administrative,Administrative_Duration,Informational_Duration,ProductRelated,ProductRelated_Duration,PageValues,Region,VisitorType
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,2,64,0,1,Returning_Visitor
0,0,0,2,2.666666667,0,2,Returning_Visitor
0,0,0,10,627.5,0,1,Returning_Visitor
0,0,0,19,154.2166667,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
1,0,0,0,0,0,1,Returning_Visitor
0,0,0,2,37,0,2,Returning_Visitor
0,0,0,3,738,0,1,Returning_Visitor
0,0,0,3,395,0,3,Returning_Visitor
0,0,0,16,407.75,0,4,Returning_Visitor
0,0,0,7,280.5,0,1,Returning_Visitor
0,0,0,6,98,0,1,Returning_Visitor
0,0,0,2,68,0,3,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
0,0,0,13,334.9666667,0,1,Returning_Visitor
0,0,0,2,32,0,1,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
0,0,0,3,105,0,1,Returning_Visitor
0,0,0,2,15,0,1,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
4,64.6,0,32,1135.444444,0,1,Returning_Visitor
0,0,0,4,76,0,1,Returning_Visitor
0,0,0,4,63,0,1,Returning_Visitor
0,0,0,8,209.5,0,1,Returning_Visitor
0,0,0,10,183.6666667,0,3,Returning_Visitor
0,0,0,14,380.5,0,1,Returning_Visitor
0,0,0,8,388,0,1,Returning_Visitor
0,0,0,7,63,0,1,Returning_Visitor
0,0,0,9,482,0,1,Returning_Visitor
0,0,0,3,22,0,3,Returning_Visitor
0,0,0,15,310.1666667,0,4,Returning_Visitor
0,0,0,2,34,0,2,Returning_Visitor
0,0,0,4,88,0,1,Returning_Visitor
0,0,0,22,622.25,0,1,Returning_Visitor
0,0,0,14,222.4,0,1,Returning_Visitor
0,0,0,3,80,0,1,Returning_Visitor
0,0,0,11,800.8333333,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,12,265.1666667,0,1,Returning_Visitor
0,0,0,2,29,0,4,Returning_Visitor
0,0,0,4,160,0,2,Returning_Visitor
0,0,0,4,135.6666667,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
4,56,120,36,998.7416667,19.44707913,4,Returning_Visitor
2,16,0,16,381.6865079,0,2,Returning_Visitor
0,0,0,6,169,0,3,Returning_Visitor
0,0,0,8,400.8,0,1,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
3,87.83333333,0,27,798.3333333,22.9160357,3,Returning_Visitor
0,0,0,18,902,0,2,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,2,43,0,3,Returning_Visitor
0,0,0,8,426.6666667,0,3,Returning_Visitor
0,0,0,3,135,0,3,Returning_Visitor
0,0,0,16,588.3333333,0,1,Returning_Visitor
10,1005.666667,0,36,2111.341667,11.43941195,1,Returning_Visitor
0,0,0,2,76,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,7,208,0,1,Returning_Visitor
0,0,0,4,270,0,1,Returning_Visitor
0,0,0,6,39.5,0,1,Returning_Visitor
0,0,0,12,375,0,4,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,7,150,0,2,Returning_Visitor
0,0,0,3,138,0,1,Returning_Visitor
0,0,0,7,337.5,0,3,Returning_Visitor
0,0,0,19,620.0333333,0,4,Returning_Visitor
2,36,0,15,168.8461538,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
