ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
19,607,0,0.026984127,Feb,1,1
55,1970.844805,0,0.001724138,Mar,2,1
50,2867,0,0.004,Mar,2,1
29,1916.761905,0.006451613,0.018709677,Mar,2,1
63,5220.083333,0,0.003329865,Mar,2,1
10,197.2,0,0.016666667,Mar,1,1
11,300.0714286,0,0.02,Mar,2,1
30,1569.625,0,0.008108108,Mar,1,1
15,245,0,0.0125,Mar,2,1
17,766.5,0,0.0125,Mar,2,1
10,808.5,0,0.015384615,Mar,2,1
41,2720.671429,0.012962963,0.033262108,Mar,2,1
17,694,0.003703704,0.008333333,Mar,3,1
37,1643.435516,0.005555556,0.032271242,Mar,2,1
45,1594.283333,0,0.015227273,Mar,2,1
57,851.6426534,0,0.007923497,Mar,2,1
56,1432.223333,0,0.002185792,Mar,2,1
45,1545.5,0,0.004,Mar,2,1
69,5485.105556,0.010526316,0.017493734,Mar,1,1
50,1803.768849,0.001360544,0.017428305,Mar,2,1
53,893.5111111,0.003571429,0.005357143,Mar,1,1
42,1981.016667,0.005660377,0.021383648,Mar,1,1
21,696.6666667,0,0.0125,Mar,2,1
10,316.5,0,0.025,Mar,2,1
5,388,0,0.04,Mar,1,1
10,253.5,0,0.022222222,Mar,1,1
43,3065.945238,0,0.011666667,Mar,1,1
19,576.0833333,0.009090909,0.018181818,Mar,2,1
7,181.5,0,0.025,Mar,2,1
31,649.3071429,0,0.001041667,Mar,2,1
49,1647.152381,0,0.0008,Mar,2,1
23,1031.704762,0,0.007111111,Mar,4,1
13,509.1214286,0.006666667,0.002222222,Mar,3,1
19,716.3571429,0.004761905,0.015873016,Mar,1,1
6,495,0,0.02,Mar,1,1
48,3946.008333,0.007272727,0.011515152,Mar,2,1
59,3224.819084,0.002985075,0.011923715,Mar,2,1
9,936.8333333,0,0.022222222,Mar,1,1
12,1436.5,0,0.013333333,Mar,2,1
36,1166.72619,0,0.025,Mar,1,1
80,4099.737392,0.004117063,0.005279668,Mar,3,1
20,917.35,0,0.008333333,Mar,4,1
50,952.4345238,0,0.011538462,Mar,4,1
14,851,0,0.014285714,Mar,1,1
42,1173.07,0,0.005319149,Mar,2,1
9,639,0,0.025,Mar,1,1
47,2989.494048,0,0.004813218,Mar,2,1
14,333.6,0,0.01,Mar,1,1
30,1107.047619,0,0.017760943,Mar,3,1
18,1049.516667,0.023809524,0.03968254,Mar,3,1
19,685.95,0,0.017724868,Mar,3,1
36,2517,0,0.005405405,Mar,2,1
19,751.3333333,0,0.002777778,Mar,2,1
62,1088.830952,0.000980392,0.007230392,Mar,3,1
26,779.5051587,0.011111111,0.034403292,Mar,1,1
33,1371.633333,0,0.005555556,Mar,2,1
53,1440.298918,0.012727273,0.021974359,Mar,3,1
39,976.7103175,0.004166667,0.009722222,Mar,1,1
44,1679.833333,0,0.001086957,Mar,2,1
25,773.4666667,0,0.029142857,Mar,2,1
31,489.1452381,0.011111111,0.022222222,Mar,2,1
15,289.85,0,0.022222222,Mar,2,1
12,777.5,0,0.015555556,Mar,2,1
160,5349.563713,0.001142857,0.001799477,Mar,2,1
27,694.3035714,0,0.007692308,Mar,1,1
13,545.5714286,0.013333333,0.020784314,Mar,2,1
23,1888.5,0,0.008695652,May,2,1
9,394.5,0,0.005555556,May,2,1
36,1262.833333,0,0.004054054,May,2,1
32,1888.547619,0.010810811,0.025900901,May,1,1
42,1528.382468,0,0.004761905,May,1,1
34,1378.966667,0.007894737,0.01716792,May,3,1
29,785.474359,0,0.001481481,May,2,1
66,1483.55,0,0.006153846,May,2,1
35,1570.5,0,0.002941176,May,2,1
23,599.3333333,0.008333333,0.016666667,May,1,1
12,499,0,0.018181818,May,2,1
19,580.5,0.010526316,0.049122807,May,2,1
41,854.2863248,0.01875,0.021194084,May,3,1
16,630.5,0,0.00625,May,3,1
37,607.4666667,0,0.002777778,May,1,1
25,874.5833333,0,0.012345679,May,2,1
22,639.5,0,0.008695652,May,1,1
25,417.9666667,0,0.019230769,May,2,1
19,2236.9,0,0.027777778,May,4,1
16,502.5,0,0.00952381,May,4,1
35,1386.716667,0.02,0.039269841,May,1,1
37,769,0,0.004273504,May,3,1
27,517.3928571,0,0.011458333,May,2,1
50,2617.233333,0,0.001360544,May,4,1
10,724,0,0.022222222,May,1,1
142,6223.870847,0,0.006649462,May,2,1
31,699.5,0,0.005896806,May,2,1
19,436,0,0.013636364,May,2,1
83,1495.580952,0,0.002298851,May,4,1
30,1708.083333,0.006666667,0.013333333,May,2,1
198,3057.809524,0,0.002734559,May,4,1
12,936,0,0.036363636,May,2,1
42,1329.666667,0,0.002325581,May,2,1
20,411.3888889,0.00952381,0.016825397,May,3,1
19,976.3382353,0,0.010454545,May,1,1
7,578.2,0,0.033333333,May,2,1
9,455,0,0.022222222,May,2,1
25,591.8928571,0,0.020833333,May,1,1
59,2946.6,0.003278689,0.007962529,May,1,1
24,676.1666667,0,0.008333333,May,2,1
40,1239.949603,0.025,0.026035354,May,2,1
19,681.6190476,0,0.011794872,May,2,1
276,4758.380638,0.001034483,0.007306262,May,4,1
24,516.4166667,0,0.013333333,May,2,1
27,880.8,0.007291667,0.020192308,May,1,1
23,1232.733333,0,0.012820513,May,4,1
114,3772.405525,0,0.001680672,May,2,1
22,892,0,0.00952381,May,2,1
9,953.8333333,0,0.011428571,May,3,1
21,893.45,0.017391304,0.020652174,May,3,1
37,1420.733333,0,0.012612613,May,2,1
