,epsilon,BASE_WEIGHT,pattern_weight,distocenterpc,wdispc,nodessimpc,pc_node_num,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,ndcgpc,diffpc,Eucpc,reldiffpc,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_dis_diff,cluster_real_node_num,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv,ndcgpriv,diffpriv,Eucpriv,reldiffpriv
0,10.0,60.0,"(1, 1, 2)",172263.47183558068,303.4476472013033,0.6536697247706422,484.0,109.0,68.6804193347711,0.018723521305947344,-0.964929408076598,-0.9462058867706507,0.9999999999999999,177.0,126.21014222319853,58.33766408919259,205737.35422015408,296.57293431092006,-0.04357798165137616,656.0,33473.8823845734,76.0,287.0,155.13542471015444,1.5936205987580152,0.6286911906814172,0.9999999999999999,455.0,296.59905596613083,130.522522927531
1,10.0,60.0,"(1, 1, 2)",180777.2678096757,844.1228608186152,0.5596330275229358,297.0,133.0,66.24198064671678,0.23854859545462703,-0.964929408076598,-0.726380812621971,0.9999999999999999,192.0,144.1735065814798,68.31671461967272,205008.83477732795,268.8809518353231,-0.10321100917431192,650.0,24231.566967652267,76.0,281.0,144.69968901141425,1.5523554131139279,0.5874260050373299,0.9999999999999999,481.0,319.13163428278307,142.05205898219745
2,10.0,60.0,"(1, 1, 2)",198483.11004220456,558.6956639131732,0.5596330275229358,424.0,97.0,50.28916384272063,0.05725643003898151,-0.964929408076598,-0.9076729780376165,0.9999999999999999,192.0,122.74363527287271,53.91116705628484,206790.785061218,356.4917980527544,-0.05275229357798161,662.0,8307.675019013433,76.0,219.0,139.97142565538152,0.8820350300217099,-0.08289437805488806,0.8992729294635202,459.0,319.491783931919,142.48916561769465
3,10.0,60.0,"(1, 1, 2)",184020.4023366606,426.87921944834983,0.5940366972477065,464.0,114.0,54.258639865002145,0.13004002187274188,-0.964929408076598,-0.8348893862038561,0.9999999999999999,201.0,140.10353314602742,61.94236648084877,206825.7337962963,324.2986301105643,-0.07798165137614688,648.0,22805.331459635694,76.0,331.0,163.50229356189473,1.6767780846104963,0.7118486765338983,0.6798657425322026,470.0,339.9499963229887,157.87326919618775
4,10.0,60.0,"(1, 1, 2)",161282.5581899259,355.90611230307525,0.6674311926605505,419.0,104.0,61.26989472816156,0.0968599870639143,-0.964929408076598,-0.8680694210126837,0.9999999999999999,189.0,138.32208789632983,66.29293292573279,199270.97518269153,274.08965146277825,-0.20871559633027514,641.0,37988.41699276562,76.0,229.0,125.66224572241258,1.097922170398207,0.13299276232160898,0.8992729294635202,527.0,343.0699637100281,146.27638913864413
5,10.0,60.0,"(1, 1, 3)",172263.47183558068,303.4476472013033,0.6536697247706422,484.0,109.0,68.6804193347711,0.018723521305947344,-0.964929408076598,-0.9462058867706507,0.9999999999999999,177.0,126.21014222319853,58.33766408919259,205737.35422015408,296.57293431092006,-0.04357798165137616,656.0,33473.8823845734,76.0,287.0,155.13542471015444,1.5936205987580152,0.6286911906814172,0.9999999999999999,455.0,296.59905596613083,130.522522927531
6,10.0,60.0,"(1, 1, 3)",176248.31442831215,783.1591059864925,0.5068807339449541,319.0,124.0,59.14389233048498,0.2551905472239945,-0.964929408076598,-0.7097388608526035,0.9999999999999999,215.0,144.7100549374507,63.48799676317209,205008.83477732795,268.8809518353231,-0.10321100917431192,650.0,28760.520349015802,76.0,281.0,144.69968901141425,1.5523554131139279,0.5874260050373299,0.9999999999999999,481.0,319.13163428278307,142.05205898219745
7,10.0,60.0,"(1, 1, 3)",198483.11004220456,558.6956639131732,0.5596330275229358,424.0,97.0,50.28916384272063,0.05725643003898151,-0.964929408076598,-0.9076729780376165,0.9999999999999999,192.0,122.74363527287271,53.91116705628484,206790.785061218,356.4917980527544,-0.05275229357798161,662.0,8307.675019013433,76.0,219.0,139.97142565538152,0.8820350300217099,-0.08289437805488806,0.8992729294635202,459.0,319.491783931919,142.48916561769465
8,10.0,60.0,"(1, 1, 3)",184020.4023366606,426.87921944834983,0.5940366972477065,464.0,114.0,54.258639865002145,0.13004002187274188,-0.964929408076598,-0.8348893862038561,0.9999999999999999,201.0,140.10353314602742,61.94236648084877,206825.7337962963,324.2986301105643,-0.07798165137614688,648.0,22805.331459635694,76.0,331.0,163.50229356189473,1.6767780846104963,0.7118486765338983,0.6798657425322026,470.0,339.9499963229887,157.87326919618775
9,10.0,60.0,"(1, 1, 3)",161282.5581899259,355.90611230307525,0.6674311926605505,419.0,104.0,61.26989472816156,0.0968599870639143,-0.964929408076598,-0.8680694210126837,0.9999999999999999,189.0,138.32208789632983,66.29293292573279,199270.97518269153,274.08965146277825,-0.20871559633027514,641.0,37988.41699276562,76.0,229.0,125.66224572241258,1.097922170398207,0.13299276232160898,0.8992729294635202,527.0,343.0699637100281,146.27638913864413
