,age,workclass,fnlwgt,education.num,capital.loss,hours.per.week,income
0,43.0,Self-emp-not-inc,729357.0,4.0,279.0,30.0,<=50K
1,51.0,Local-gov,317665.0,9.0,281.0,42.0,>50K
2,39.0,Private,213622.0,9.0,103.0,42.0,<=50K
3,38.0,Federal-gov,284055.0,10.0,311.0,53.0,<=50K
4,31.0,Private,43551.0,10.0,488.0,43.0,<=50K
5,39.0,Private,1175490.0,14.0,459.0,43.0,<=50K
6,33.0,Private,609302.0,10.0,499.0,43.0,<=50K
7,56.0,Federal-gov,232691.0,10.0,145.0,29.0,<=50K
8,67.0,Private,220092.0,9.0,405.0,9.0,<=50K
9,31.0,Private,230904.0,10.0,420.0,59.0,<=50K
10,53.0,Private,78069.0,5.0,1132.0,40.0,<=50K
11,40.0,Federal-gov,177070.0,14.0,491.0,50.0,>50K
12,38.0,Private,198163.0,13.0,396.0,52.0,<=50K
13,60.0,Self-emp-not-inc,603556.0,9.0,405.0,38.0,>50K
14,23.0,Private,127878.0,6.0,104.0,48.0,<=50K
15,19.0,Private,277661.0,8.0,70.0,18.0,<=50K
16,25.0,Private,197185.0,10.0,354.0,15.0,<=50K
17,53.0,Federal-gov,37830.0,10.0,528.0,40.0,<=50K
18,52.0,Private,252231.0,13.0,265.0,44.0,<=50K
19,62.0,Private,251350.0,9.0,514.0,43.0,<=50K
20,75.0,Federal-gov,819753.0,12.0,1829.0,3.0,<=50K
21,51.0,Private,326565.0,9.0,248.0,39.0,>50K
22,43.0,Local-gov,147318.0,9.0,138.0,25.0,<=50K
23,51.0,Self-emp-not-inc,155882.0,10.0,409.0,46.0,<=50K
24,21.0,Private,202700.0,9.0,540.0,46.0,<=50K
25,36.0,Local-gov,590440.0,10.0,179.0,39.0,<=50K
26,21.0,Federal-gov,927043.0,2.0,3205.0,92.0,<=50K
27,68.0,?,226317.0,10.0,133.0,45.0,<=50K
28,44.0,Federal-gov,173538.0,10.0,9.0,45.0,<=50K
29,35.0,Private,190664.0,9.0,72.0,39.0,<=50K
30,30.0,Private,299627.0,10.0,39.0,49.0,<=50K
31,52.0,Private,198395.0,9.0,232.0,45.0,<=50K
32,29.0,Private,215049.0,12.0,399.0,41.0,<=50K
33,43.0,Private,49331.0,9.0,44.0,43.0,<=50K
34,22.0,Private,37816.0,9.0,313.0,20.0,<=50K
35,35.0,Private,280534.0,14.0,141.0,50.0,<=50K
36,42.0,State-gov,57671.0,15.0,189.0,43.0,>50K
37,39.0,Private,300567.0,5.0,438.0,39.0,<=50K
38,70.0,Without-pay,608062.0,16.0,476.0,53.0,<=50K
39,41.0,Private,325253.0,13.0,367.0,42.0,<=50K
40,26.0,Private,296734.0,9.0,405.0,47.0,<=50K
41,31.0,Private,330343.0,9.0,516.0,46.0,<=50K
42,52.0,Local-gov,106736.0,14.0,309.0,44.0,<=50K
43,19.0,Private,180818.0,10.0,459.0,28.0,<=50K
44,38.0,Private,227643.0,12.0,82.0,43.0,>50K
45,43.0,Private,81257.0,10.0,473.0,59.0,<=50K
46,19.0,State-gov,170568.0,14.0,24.0,20.0,<=50K
47,22.0,Private,241553.0,10.0,12.0,45.0,<=50K
48,28.0,State-gov,374065.0,14.0,124.0,48.0,<=50K
49,35.0,Private,144571.0,12.0,433.0,39.0,<=50K
50,43.0,Private,475452.0,7.0,386.0,49.0,<=50K
51,30.0,?,183110.0,8.0,479.0,45.0,<=50K
52,82.0,?,485002.0,10.0,2364.0,44.0,<=50K
53,20.0,Local-gov,288617.0,14.0,485.0,43.0,<=50K
54,22.0,Private,175162.0,8.0,444.0,45.0,<=50K
55,26.0,Local-gov,277048.0,14.0,237.0,48.0,<=50K
56,36.0,Local-gov,177040.0,9.0,467.0,37.0,<=50K
57,31.0,Private,905987.0,10.0,178.0,44.0,<=50K
58,42.0,Local-gov,211212.0,12.0,323.0,40.0,<=50K
59,31.0,Private,486172.0,10.0,125.0,42.0,<=50K
60,24.0,?,477372.0,7.0,153.0,21.0,<=50K
61,22.0,Local-gov,154093.0,13.0,3134.0,49.0,<=50K
62,44.0,Private,130355.0,9.0,484.0,49.0,<=50K
63,23.0,Self-emp-inc,683593.0,15.0,1635.0,45.0,>50K
64,22.0,Private,320449.0,9.0,444.0,14.0,<=50K
65,30.0,Self-emp-not-inc,304214.0,7.0,2091.0,48.0,<=50K
66,50.0,Federal-gov,274765.0,12.0,530.0,50.0,>50K
67,21.0,Private,202507.0,10.0,367.0,43.0,<=50K
68,50.0,Private,206923.0,9.0,75.0,46.0,<=50K
69,20.0,Federal-gov,108233.0,9.0,519.0,33.0,<=50K
70,73.0,State-gov,112350.0,1.0,482.0,21.0,<=50K
71,37.0,State-gov,239505.0,14.0,406.0,47.0,<=50K
72,77.0,Self-emp-not-inc,302794.0,7.0,4088.0,18.0,>50K
73,41.0,Private,125629.0,10.0,369.0,41.0,<=50K
74,49.0,Local-gov,60028.0,14.0,313.0,41.0,<=50K
75,18.0,Self-emp-not-inc,24441.0,9.0,275.0,28.0,<=50K
76,33.0,Private,114455.0,13.0,47.0,46.0,<=50K
77,25.0,Private,227236.0,11.0,210.0,72.0,<=50K
78,35.0,Private,470778.0,9.0,214.0,41.0,>50K
79,25.0,?,212378.0,10.0,1883.0,32.0,<=50K
80,34.0,Private,105379.0,10.0,450.0,45.0,<=50K
81,35.0,Private,50643.0,10.0,163.0,45.0,<=50K
82,22.0,Private,326706.0,10.0,59.0,19.0,<=50K
83,48.0,Private,432244.0,9.0,111.0,39.0,<=50K
84,42.0,Local-gov,137288.0,9.0,303.0,41.0,<=50K
85,29.0,Private,314864.0,11.0,219.0,46.0,<=50K
86,43.0,Private,90591.0,12.0,528.0,44.0,>50K
87,25.0,Private,261157.0,11.0,614.0,30.0,<=50K
88,43.0,Private,246002.0,10.0,281.0,39.0,<=50K
89,59.0,Local-gov,116374.0,2.0,983.0,33.0,<=50K
90,35.0,Federal-gov,1164512.0,13.0,701.0,56.0,<=50K
91,41.0,Private,304112.0,9.0,486.0,39.0,<=50K
92,21.0,Private,76753.0,14.0,450.0,32.0,<=50K
93,50.0,Private,140144.0,10.0,229.0,45.0,>50K
94,35.0,Private,178432.0,9.0,414.0,44.0,<=50K
95,25.0,Private,76514.0,9.0,233.0,42.0,<=50K
96,42.0,Private,94651.0,10.0,426.0,46.0,>50K
97,18.0,Private,160382.0,10.0,184.0,53.0,<=50K
98,50.0,Private,132494.0,12.0,308.0,43.0,<=50K
99,21.0,Private,134279.0,9.0,222.0,40.0,<=50K
100,41.0,Local-gov,275189.0,10.0,156.0,50.0,<=50K
101,34.0,Private,316408.0,13.0,247.0,49.0,<=50K
102,47.0,Private,132893.0,9.0,226.0,26.0,<=50K
103,69.0,Private,118308.0,10.0,391.0,40.0,<=50K
104,27.0,?,319546.0,7.0,128.0,39.0,<=50K
105,37.0,Private,139023.0,9.0,515.0,47.0,>50K
106,43.0,Private,22060.0,5.0,953.0,42.0,<=50K
107,38.0,Private,155320.0,10.0,409.0,41.0,<=50K
108,34.0,Local-gov,517344.0,2.0,2395.0,3.0,<=50K
109,64.0,Never-worked,1229067.0,7.0,2122.0,43.0,<=50K
110,27.0,Federal-gov,240343.0,7.0,308.0,44.0,<=50K
111,51.0,Private,80980.0,4.0,1030.0,47.0,<=50K
112,45.0,Private,199838.0,10.0,259.0,16.0,>50K
113,31.0,Private,242760.0,10.0,525.0,49.0,<=50K
114,53.0,Local-gov,331812.0,13.0,145.0,41.0,>50K
115,31.0,Private,304943.0,9.0,113.0,48.0,<=50K
116,60.0,Private,290811.0,10.0,123.0,51.0,<=50K
117,35.0,Private,120097.0,11.0,197.0,47.0,<=50K
118,59.0,Local-gov,365404.0,9.0,424.0,36.0,<=50K
119,50.0,State-gov,185684.0,13.0,25.0,42.0,<=50K
120,50.0,Federal-gov,633545.0,9.0,334.0,48.0,<=50K
121,39.0,Private,317625.0,10.0,170.0,50.0,<=50K
122,66.0,Without-pay,1112612.0,8.0,812.0,38.0,<=50K
123,44.0,Private,161948.0,9.0,161.0,39.0,<=50K
124,26.0,State-gov,292703.0,8.0,216.0,22.0,<=50K
125,35.0,Local-gov,35164.0,9.0,228.0,42.0,<=50K
126,26.0,Private,43822.0,10.0,67.0,43.0,<=50K
127,28.0,Private,203352.0,10.0,404.0,49.0,<=50K
128,36.0,?,215875.0,10.0,188.0,32.0,<=50K
129,28.0,Private,316732.0,8.0,51.0,39.0,<=50K
130,43.0,Private,397634.0,9.0,445.0,48.0,>50K
131,35.0,Private,103794.0,10.0,118.0,8.0,<=50K
132,17.0,Private,85981.0,9.0,395.0,39.0,<=50K
133,30.0,Private,248259.0,9.0,324.0,41.0,<=50K
134,36.0,Federal-gov,214970.0,12.0,21.0,45.0,>50K
135,38.0,State-gov,68934.0,9.0,515.0,49.0,<=50K
136,37.0,Private,59153.0,5.0,528.0,40.0,<=50K
137,41.0,Private,220290.0,8.0,399.0,62.0,<=50K
138,38.0,State-gov,270706.0,14.0,51.0,30.0,>50K
139,28.0,State-gov,179464.0,11.0,380.0,52.0,<=50K
140,58.0,Private,166038.0,5.0,105.0,41.0,<=50K
141,26.0,?,256007.0,9.0,252.0,46.0,<=50K
142,27.0,Private,254193.0,9.0,270.0,43.0,<=50K
143,63.0,Private,1022036.0,7.0,2317.0,4.0,<=50K
144,46.0,Private,289916.0,9.0,449.0,45.0,<=50K
145,48.0,Private,294645.0,13.0,68.0,17.0,<=50K
146,24.0,?,288568.0,9.0,260.0,39.0,<=50K
147,61.0,Private,170425.0,9.0,330.0,28.0,<=50K
148,53.0,Private,84444.0,7.0,410.0,42.0,<=50K
149,82.0,Self-emp-inc,657412.0,14.0,3736.0,55.0,<=50K
150,23.0,Federal-gov,300424.0,10.0,311.0,33.0,<=50K
151,62.0,Local-gov,287023.0,10.0,528.0,47.0,<=50K
152,18.0,Private,179797.0,9.0,34.0,18.0,<=50K
153,41.0,Private,252741.0,13.0,728.0,44.0,>50K
154,25.0,?,302210.0,9.0,439.0,35.0,<=50K
155,47.0,Private,167752.0,10.0,120.0,26.0,<=50K
156,47.0,Private,74328.0,9.0,225.0,40.0,<=50K
157,41.0,?,249453.0,9.0,238.0,60.0,<=50K
158,30.0,?,713483.0,9.0,285.0,38.0,<=50K
159,19.0,?,135885.0,9.0,73.0,49.0,<=50K
160,49.0,Self-emp-not-inc,441689.0,9.0,414.0,49.0,<=50K
161,30.0,Private,562092.0,12.0,533.0,41.0,<=50K
162,50.0,Local-gov,204702.0,5.0,347.0,19.0,<=50K
