,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
0,6.0,1763.1317248724688,0.010732051749166024,0.02035715150216595,Oct,4,0
1,87.0,2371.236496483812,0.006735612882453092,0.005387529000809814,Mar,2,0
2,36.0,478.30727502594385,0.003652581834484862,0.025986548730081598,Nov,3,1
3,12.0,1641.2852312955208,0.06087868483911871,0.0005640484030425696,Mar,1,0
4,23.0,2081.058832565354,0.19690465931870688,0.18728821317267857,May,3,0
5,21.0,1677.271589285827,0.12745315036654178,0.0916014355258287,Feb,4,1
6,31.0,2811.1037651491047,0.006029786869039003,0.023529893975505107,Dec,1,0
7,37.0,737.6955767284791,0.04507136081757359,0.01140081424642624,Mar,4,0
8,4.0,1955.221010874027,0.0052641043466335816,0.009544239960667653,Mar,1,1
9,1.0,2242.2940908946616,0.0007357790709143642,0.007911082793222949,Dec,3,0
10,39.0,1124.7406905985779,0.000805947809342927,0.018485500190845956,May,1,0
11,20.0,2706.1319908843675,0.004716501457925637,0.04825428270512578,May,2,0
12,36.0,1185.8392671405018,0.08969567539258518,0.08462530056364634,May,2,0
13,141.0,6177.689936206673,0.006129066900268474,0.019327173392383958,Nov,2,0
14,21.0,490.3955893503739,0.0062688933282382025,0.0182306425807418,Nov,2,0
15,34.0,1131.436538047864,0.013836376842562996,0.050787406369127604,Sep,1,0
16,11.0,2840.534365891422,0.012987357432418346,0.0016352284037595426,Aug,2,0
17,44.0,2633.2041790146754,0.015881531945647905,0.01158149080919444,Mar,1,1
18,42.0,2589.134517841791,0.0042850788248453234,0.02414286708762404,Aug,2,0
19,1.0,1908.6697214989977,0.012175980181965716,0.014245985960082561,May,2,0
20,48.0,4326.708077890128,0.003993307647997822,0.06739111750916417,Mar,2,0
21,542.0,1848.7092381246264,0.11916397744695159,0.06702019957594983,Feb,6,0
22,44.0,1741.7396805519234,0.00976440467560058,0.014646405578682763,Nov,3,0
23,18.0,2747.786107075012,0.029984072530399725,0.03947394180454797,Nov,3,0
24,151.0,38545.945659614015,0.009357008510880399,0.12544363297730254,May,1,0
25,208.0,29908.531093130547,0.1754283510507629,0.051900794040871105,Jul,6,0
26,1.0,2098.7679954231317,0.011861826904332635,0.007821023232518461,Jul,1,0
27,10.0,2313.3428127814514,0.007847078767063127,0.016580905670793518,Nov,2,1
28,21.0,2127.839546581086,0.0224559203336377,0.04700443763670098,Mar,2,0
29,164.0,3337.387082610517,0.011640672245108438,0.016462592104836728,Nov,3,0
30,11.0,1823.4870769743227,0.004993884758832269,0.013241291787538002,Sep,3,1
31,11.0,773.7285591807187,0.0014279706932803517,0.006023077827726898,Dec,2,1
32,480.0,12301.40920204211,0.009197769200759522,0.005854089299763755,May,4,0
33,22.0,735.2015659241417,0.018997935305679264,0.013509917165301852,Nov,1,0
34,14.0,25.385255820897683,0.0056533934127480446,0.010280492593328756,Dec,2,0
35,1.0,344.19761030040786,0.06422003005733869,0.023789412309753923,Aug,2,1
36,39.0,1933.5112337532757,0.002979669282662531,0.06939469072113166,May,1,0
37,120.0,5168.801694085265,0.0156904582696187,0.06253234756438683,May,2,0
38,30.0,307.5679931789715,0.007940371776739178,0.011496736732403532,Jul,3,0
39,56.0,2724.674203850903,0.008278294693932525,0.017583774513629222,Mar,2,0
40,658.0,24365.347962509375,0.15289407700865523,0.1500520432576276,Feb,5,0
41,87.0,5130.061270939841,0.0013669002140001146,0.024668069339070016,Nov,3,1
42,6.0,119.51213002294432,0.00534815579632677,0.008840116640322769,Dec,2,0
43,63.0,230.05099010052376,0.0115551718472292,0.026447780605032042,Nov,3,0
44,34.0,2344.328186959481,0.01004842552204774,0.0227600686100679,Nov,3,0
45,33.0,277.7817451328444,0.0025520523046303604,0.0009729760152822846,Nov,2,0
46,279.0,8742.012814278929,0.009066909799196771,0.020510178029596204,Dec,2,0
47,20.0,1892.5193152535892,0.007645285891437112,0.07752552334609183,May,2,0
48,39.0,126.1209385448103,0.012550935414794928,0.01545529331577919,Mar,2,1
49,32.0,1194.237401775118,0.004768285053103981,0.04573458404799509,June,2,0
50,14.0,2346.044781603748,0.007935461041900967,0.02649394815809384,Nov,3,0
51,28.0,328.22939193192826,0.007193563730130639,0.016301095524392278,May,3,0
52,41.0,2425.144822991499,0.010825993529249027,0.00014380080741832244,Mar,2,0
53,40.0,2619.404114388518,0.007864683470369917,0.0183868117114661,May,1,0
54,24.0,2806.304675828224,0.0031648941326764364,0.027573214639035903,Jul,1,0
55,28.0,1767.5581155701852,0.005138055012922139,0.019137490778281942,Nov,2,0
56,2.0,2363.8836155367967,0.04817959605081024,0.07530692682461533,May,1,0
57,11.0,458.2823229697299,0.0035561964993930484,0.0015808342409156643,Dec,2,0
58,37.0,1652.371911352512,0.09549491021970652,0.1132921694950785,Oct,1,0
59,66.0,5397.5314508339225,0.012805496265296925,0.019731750395441706,Mar,2,1
60,8.0,2491.063502747333,0.010453828677671669,0.012019314145467447,Aug,2,1
61,26.0,493.86617737518543,0.002826982324307599,0.015653384259401555,May,2,1
62,80.0,2385.116583373593,0.004597914899580788,0.020887454416828755,May,2,0
63,32.0,1145.623099993079,0.002400109487179544,0.011519073317826907,Mar,4,0
64,18.0,1474.952235465051,0.013287124321300024,0.0035073108047051276,Nov,1,0
65,21.0,2294.5544833106405,0.0038768338724225223,0.004174002145176227,Nov,1,1
66,24.0,1923.2884275882827,0.0015377515787114372,0.012119940491279667,Mar,3,0
67,37.0,938.1882495300026,0.011146176942240165,0.02244768002535798,Mar,3,0
68,447.0,16853.949411745896,0.14196666377501913,0.05635473227073785,Oct,5,0
69,18.0,2678.835850947027,0.00019767695846969395,0.02616002020886696,Dec,3,0
70,258.0,10961.314993875214,0.04384142767954933,0.1813077354812911,Mar,5,1
71,1.0,143.31936212317555,0.0019443418424490283,0.025894568672996183,May,1,0
72,2.0,43.6722127527195,0.007727995726809777,0.043771743697689276,Mar,2,0
73,80.0,1656.2969899523562,0.008106666835915733,0.009282502060802394,Mar,3,0
74,46.0,286.1565169768367,0.007307631392305786,0.005351937696909441,May,2,1
75,28.0,250.7430166596973,0.0016405518188417365,0.02060729101969528,Nov,2,0
76,347.0,14019.743728538055,0.008756766169621458,0.006212806682602095,May,2,0
77,8.0,136.9216382669149,0.04269348157568339,0.07763784639812794,Nov,2,1
78,71.0,809.2304000323171,0.008322495987036677,0.007403790274463376,Nov,3,0
79,93.0,877.795469854209,0.010604461038030168,0.0027492044358667996,May,2,0
80,177.0,25708.590681415822,0.07622915613955525,0.14494066066895459,June,8,0
81,25.0,2724.7638287656177,0.00805745841968104,0.03948826811477465,Dec,3,0
82,87.0,2258.0850494420824,0.002350705100126344,0.011029777679775149,May,3,0
83,11.0,1319.9866189315683,0.008774787933225328,0.0025939476724278834,Mar,1,1
84,24.0,337.4095781133382,0.0025399385086910726,0.01745767410854708,May,2,0
85,233.0,31554.739332596793,0.012741092507914392,0.010493403567320033,Feb,7,0
86,27.0,643.1659490265109,0.011881427508971597,0.014324688300132145,Nov,1,1
87,539.0,13357.64752422002,0.001476968658591781,0.0008680980154293054,Nov,4,0
88,13.0,2240.533122574953,0.007764591035070399,0.0034950536718677465,Mar,2,0
89,26.0,1466.977992421609,0.025501273145707097,0.04280065651545979,Oct,3,0
90,45.0,2548.5518589273856,0.0035926264701864764,0.004870539823939398,Oct,1,0
91,423.0,8458.437864014315,3.491736982434546e-05,0.011326531981495913,Nov,2,0
92,37.0,1053.4833262433701,0.00850217696908254,0.0219932903004858,Jul,3,0
93,39.0,2041.7068817927643,0.009549320919181349,0.052888509669958506,Mar,2,1
94,42.0,271.7009647674231,0.0783612188203533,0.059420757182842315,Sep,4,0
95,35.0,1240.2183347956407,0.004043490030642866,0.027508634877813257,Nov,3,0
96,273.0,10568.817560960324,0.07385614945351818,0.18122265171549223,Mar,8,1
97,24.0,790.8519528246388,0.0053903101944459235,0.0028118507261296138,Oct,2,0
98,26.0,1074.1862136228383,0.004227368666326215,0.006330243494019243,May,2,1
99,20.0,2185.8082716663157,0.08179750007978609,0.015230761402930086,May,1,0
100,3.0,607.3751196155582,0.011747380621000341,0.025414203503234548,June,1,1
101,41.0,2654.550532667434,0.008093322559334686,0.0007297754327375073,Sep,3,0
102,168.0,405.43381799259487,0.01546236305807264,0.03742209947818358,Nov,3,0
103,9.0,641.7289342711792,0.19281528524473465,0.00276718253953342,Oct,3,0
104,259.0,39183.34757225482,0.005115710046820318,0.024774471790649677,Nov,3,0
105,23.0,662.1636161131601,0.12124624746716714,0.19797491691011587,Mar,4,0
106,17.0,2417.4691141879202,0.019230921040990914,0.029446523667119154,Dec,1,0
107,345.0,21179.31293965365,0.01495719279430889,0.03542633946661231,Sep,3,1
108,25.0,366.21791900392986,0.0024932998674186578,0.07679278014964272,Mar,1,0
109,687.0,42218.69294245537,0.19923615558043756,0.18842017070520495,May,1,0
