,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
0,22.0,1854.7351879034634,0.06404456356522684,0.06702491746871055,Mar,2,0
1,582.0,19970.51435307468,0.17861066044909907,0.042137294735407095,Dec,1,0
2,101.0,18453.471612812064,0.011228187745716484,0.025310345119574917,Feb,8,1
3,88.0,2158.7512659011813,0.02812371844692413,0.1379822628136255,Dec,1,0
4,0.0,1370.0470955355772,0.17644553195533155,0.10562867122472624,Dec,4,0
5,541.0,5611.431036499531,0.02873011427355704,0.06021140250044552,June,2,1
6,183.0,14691.653954694193,0.08626214811962488,0.10014753019562438,Nov,2,1
7,521.0,6650.733882208078,0.09177322276713472,0.16969861063458427,June,5,1
8,308.0,1691.6446583656073,0.012799258955366065,0.18979607516676947,May,7,1
9,29.0,11153.889871160194,0.16730801673712517,0.14070109444173137,Nov,1,1
10,2.0,1342.6817008080693,0.030165373282398995,0.080235837631949,Dec,2,0
11,65.0,39765.24780295315,0.00422733944639783,0.1698164693999819,Feb,4,1
12,409.0,42535.29414121634,0.0875803289524054,0.1119673096727128,Jul,4,0
13,585.0,2736.107029375173,0.12038377421728363,0.09730254654335257,Mar,8,0
14,269.0,27316.532325536875,0.12548390161795892,0.059351447400740796,Nov,3,0
15,571.0,22509.945611430092,0.16549611181467067,0.13522017649105922,Sep,8,1
16,481.0,39639.191021907034,0.027412279833000784,0.16551226772521352,May,7,1
17,663.0,26067.289014955837,0.12077079264859036,0.05552464995935741,Dec,2,1
18,588.0,22527.407913539006,0.03364541624830096,0.18032366126721555,May,1,1
19,137.0,27685.445028008246,0.16439284985115796,0.08817023234415242,May,2,0
20,357.0,14089.226924216724,0.1721151128649646,0.037868649722663766,Nov,2,1
21,224.0,26270.651868592406,0.1872207899695157,0.07981727188220343,Sep,6,0
22,676.0,36564.80726700688,0.1127012933010677,0.0620384678337658,Sep,4,0
23,223.0,14500.232915943536,0.027435878192387554,0.16603348633825465,May,7,1
24,475.0,43079.653820184896,0.012421373734094897,0.025474353946006754,Aug,1,0
25,202.0,33420.89846657776,0.16490608765948223,0.03504988711848956,Sep,1,0
26,173.0,40422.90320175965,0.16107936291376945,0.15344492755682543,Sep,8,1
27,222.0,2089.817942016039,0.058951040502021226,0.009689378786045583,May,7,1
28,537.0,19853.83908022134,0.012138528780540862,0.05959873092845309,Dec,2,1
29,380.0,43072.06139472934,0.19591300910424603,0.15071317507938276,Nov,2,1
30,483.0,24523.93742489337,0.13636640756418622,0.0011270554131283328,Mar,8,0
31,198.0,35283.66384115969,0.12249535633089541,0.0064877801252972616,Mar,4,1
32,483.0,41059.34757290491,0.005902629198248937,0.14509003329558195,Nov,7,0
33,179.0,5372.735009457165,0.026965810941359362,0.14748807632898273,Sep,2,1
34,244.0,6079.623235143057,0.07373696424645719,0.17185917280864785,May,1,1
35,89.0,38640.84965761578,0.19687380942239474,0.16944636539569563,Nov,7,1
36,699.0,40192.716506913086,0.05782344431941593,0.08514460217201908,Oct,5,0
37,50.0,33459.35958354872,0.18558144589531114,0.12080162723204897,Feb,2,1
38,629.0,9051.098866020153,0.08584900820597086,0.025560010370458387,Oct,6,1
39,211.0,16376.287356217395,0.003495775570017168,0.10550733515706832,May,1,1
40,424.0,24662.943307975558,0.13171133903059526,0.10563417736531415,Aug,1,1
41,584.0,19653.844884020225,0.03834198531860337,0.004397482836217623,Feb,6,0
42,43.0,15027.739479750237,0.1287023820287737,0.1032102075254108,Aug,1,1
43,146.0,17035.21221761002,0.03362696165065002,0.18829980610757716,June,6,1
44,122.0,36620.21018491026,0.10633533726598277,0.19046190179637937,Nov,2,0
45,617.0,3077.8528282190027,0.007899529617400116,0.06078251867224008,Oct,6,1
46,121.0,28567.0310733546,0.1004578176799675,0.14012836758180205,Dec,2,0
47,136.0,28312.592959746962,0.04345791459773367,0.1464958053040956,Nov,2,1
48,57.0,37760.22466553009,0.1620232590558642,0.1716858727497666,Feb,4,1
49,423.0,125.26646839101325,0.07632297119705253,0.0052207721039683325,May,1,1
50,192.0,23149.213071939615,0.12788066347100796,0.03986252064662309,Jul,6,1
51,448.0,24962.708131408297,0.1649329666392538,0.08269870514348346,Feb,4,1
52,659.0,15052.123734464545,0.12199504763979546,0.015586938219357348,Oct,7,0
53,286.0,946.8122323634238,0.14164062010505785,0.12940121905732652,May,1,1
54,493.0,1934.65444515774,0.13892332560145207,0.04894658860500623,Mar,8,0
55,43.0,669.4527380575884,0.13566259878395984,0.09491525155451896,Mar,8,0
56,678.0,33033.736437506894,0.068082009315734,0.12287675523409564,May,2,1
57,19.0,1114.0845861571784,0.19158147801374076,0.14099827182529778,Nov,2,1
58,500.0,2867.8750636298655,0.043592506543147454,0.18947304526363565,Mar,8,0
59,4.0,14013.7961351207,0.09346856904901842,0.18280016861134135,Dec,4,0
60,27.0,18151.527837746766,0.02278909042402761,0.02617843293596275,Aug,1,1
61,478.0,28573.248092520007,0.01631316225489175,0.07783375317694384,Aug,2,0
62,170.0,32524.762413181965,0.005180159095438745,0.11736138748289822,Sep,2,1
63,468.0,9742.306014904378,0.10138849717427939,0.14590237637277928,Nov,7,0
64,379.0,37538.44647770532,0.18191487799553668,0.08337186584472728,Jul,5,0
