,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,Female,No,1,Not Graduate,No,9153.0,26060.040837959572,20.0,180,1,Urban,N
1,Female,No,0,Not Graduate,Yes,8920.0,12340.572898884511,304.0,180,1,Semiurban,N
2,Male,No,1,Not Graduate,No,10909.0,13234.569294641129,307.0,180,1,Semiurban,N
3,Male,Yes,0,Graduate,No,15402.0,2985.975269777447,101.0,480,1,Urban,Y
4,Female,No,1,Graduate,No,36564.0,4136.167798787248,108.0,180,0,Semiurban,N
5,Male,No,0,Graduate,Yes,4057.0,7927.20598406492,101.0,180,1,Rural,Y
6,Female,Yes,0,Graduate,No,25884.0,29548.937269164384,240.0,240,0,Semiurban,N
7,Female,No,0,Graduate,Yes,2960.0,17407.824361907038,118.0,240,1,Rural,Y
8,Female,No,0,Graduate,Yes,30189.0,7409.531884484539,97.0,120,1,Rural,Y
9,Male,No,0,Graduate,Yes,32951.0,19249.872212944207,131.0,180,1,Semiurban,Y
10,Male,Yes,0,Graduate,No,2856.0,20463.32056544358,124.0,300,0,Rural,N
11,Male,Yes,0,Graduate,No,6335.0,18070.769640473853,537.0,300,0,Rural,Y
12,Male,Yes,0,Not Graduate,No,20178.0,20123.964989890057,561.0,480,0,Urban,N
13,Female,Yes,0,Not Graduate,Yes,19524.0,13629.588836353918,47.0,300,1,Rural,N
14,Male,Yes,0,Graduate,Yes,22833.0,18382.766017165508,432.0,180,1,Semiurban,Y
15,Female,Yes,0,Not Graduate,No,3158.0,2624.1691939179937,436.0,360,1,Rural,Y
16,Female,No,0,Graduate,Yes,16368.0,25030.468022496912,541.0,84,0,Semiurban,Y
17,Male,No,0,Graduate,Yes,34236.0,24416.930092041093,449.0,480,1,Urban,Y
18,Male,No,0,Not Graduate,Yes,6666.0,11268.246522627982,422.0,120,1,Semiurban,Y
19,Female,Yes,0,Not Graduate,No,20750.0,26278.22972612918,450.0,240,0,Urban,Y
20,Female,Yes,0,Not Graduate,No,25083.0,21194.27671291567,183.0,300,0,Rural,N
21,Male,Yes,0,Not Graduate,No,9962.0,31329.535999309577,442.0,120,1,Semiurban,Y
