,age,job,education,balance,pdays,deposit
0,29.0,admin.,secondary,4536.0,325.0,yes
1,48.0,management,tertiary,339.0,126.0,no
2,37.0,management,secondary,2930.0,219.0,yes
3,31.0,blue-collar,tertiary,3536.0,82.0,yes
4,32.0,blue-collar,primary,73426.0,796.0,yes
5,58.0,blue-collar,tertiary,1640.0,177.0,no
6,36.0,management,tertiary,3538.0,59.0,yes
7,32.0,blue-collar,secondary,1990.0,103.0,yes
8,49.0,admin.,secondary,1682.0,322.0,no
9,26.0,management,tertiary,2383.0,74.0,yes
10,42.0,blue-collar,secondary,-291.0,329.0,no
11,29.0,technician,tertiary,3736.0,35.0,yes
12,49.0,unemployed,secondary,53429.0,118.0,no
13,43.0,admin.,secondary,77640.0,172.0,no
14,49.0,services,primary,51044.0,407.0,yes
15,56.0,retired,secondary,5557.0,98.0,no
16,52.0,technician,tertiary,78413.0,694.0,yes
17,37.0,services,secondary,16326.0,213.0,yes
18,72.0,retired,primary,60237.0,440.0,no
19,46.0,services,secondary,1071.0,383.0,no
20,63.0,management,tertiary,4276.0,308.0,yes
21,26.0,services,secondary,41263.0,247.0,no
22,57.0,technician,secondary,25.0,186.0,yes
23,35.0,management,tertiary,2097.0,98.0,yes
24,32.0,technician,secondary,68427.0,845.0,yes
25,38.0,technician,tertiary,6585.0,173.0,yes
26,49.0,unemployed,secondary,31753.0,716.0,no
27,35.0,blue-collar,secondary,4256.0,75.0,yes
28,43.0,management,tertiary,6852.0,433.0,yes
29,32.0,technician,tertiary,2702.0,172.0,yes
30,33.0,self-employed,tertiary,70048.0,590.0,yes
31,28.0,technician,secondary,4047.0,276.0,yes
32,29.0,unemployed,secondary,3855.0,260.0,yes
33,78.0,blue-collar,secondary,944.0,9.0,no
34,47.0,blue-collar,primary,4451.0,141.0,no
35,31.0,technician,secondary,2852.0,278.0,no
36,31.0,technician,secondary,590.0,63.0,yes
37,74.0,student,secondary,18519.0,841.0,no
38,29.0,management,tertiary,7012.0,68.0,yes
39,30.0,management,tertiary,2487.0,80.0,yes
40,65.0,retired,secondary,3672.0,112.0,yes
41,20.0,management,tertiary,-493.0,174.0,yes
42,46.0,management,tertiary,3109.0,95.0,no
43,42.0,management,tertiary,9769.0,328.0,no
44,30.0,technician,secondary,-259.0,399.0,no
45,28.0,blue-collar,secondary,3277.0,82.0,yes
46,49.0,services,primary,2247.0,183.0,yes
47,46.0,services,secondary,2483.0,660.0,no
48,61.0,technician,secondary,1616.0,187.0,yes
49,32.0,admin.,tertiary,2685.0,59.0,yes
50,32.0,self-employed,tertiary,27932.0,356.0,yes
51,39.0,self-employed,tertiary,10204.0,457.0,no
52,27.0,management,tertiary,104.0,68.0,yes
53,42.0,admin.,secondary,15665.0,587.0,no
54,30.0,admin.,secondary,-400.0,66.0,yes
55,41.0,blue-collar,primary,32528.0,285.0,no
56,39.0,technician,secondary,-620.0,78.0,yes
57,34.0,blue-collar,secondary,2248.0,164.0,yes
58,40.0,blue-collar,secondary,30786.0,806.0,no
59,28.0,management,tertiary,211.0,69.0,yes
60,39.0,management,tertiary,2791.0,225.0,yes
61,42.0,services,tertiary,2177.0,227.0,yes
62,40.0,technician,secondary,-569.0,85.0,yes
63,60.0,entrepreneur,primary,22011.0,787.0,no
64,32.0,technician,tertiary,2065.0,290.0,no
65,25.0,admin.,secondary,3106.0,368.0,yes
66,58.0,management,tertiary,4161.0,111.0,yes
67,33.0,blue-collar,secondary,76025.0,7.0,yes
68,24.0,management,tertiary,1491.0,734.0,no
69,37.0,management,tertiary,8734.0,59.0,yes
70,65.0,management,secondary,1577.0,76.0,yes
71,51.0,management,tertiary,803.0,259.0,yes
72,45.0,blue-collar,secondary,76645.0,717.0,no
73,32.0,blue-collar,secondary,358.0,429.0,yes
74,28.0,blue-collar,secondary,2722.0,123.0,yes
75,49.0,services,primary,5137.0,535.0,no
76,56.0,management,tertiary,9.0,120.0,yes
77,34.0,retired,secondary,145.0,135.0,yes
78,44.0,management,tertiary,3117.0,205.0,yes
79,58.0,management,tertiary,37779.0,277.0,yes
80,45.0,student,secondary,80513.0,584.0,no
81,60.0,retired,secondary,2361.0,213.0,yes
82,85.0,housemaid,primary,48216.0,292.0,no
83,59.0,unemployed,primary,56915.0,19.0,no
84,49.0,blue-collar,secondary,1733.0,352.0,no
85,39.0,blue-collar,secondary,2142.0,181.0,no
86,71.0,retired,primary,3582.0,165.0,no
87,51.0,management,tertiary,19.0,66.0,yes
88,35.0,blue-collar,primary,-590.0,123.0,no
89,27.0,admin.,secondary,44910.0,210.0,yes
90,78.0,retired,primary,22249.0,809.0,no
91,80.0,housemaid,primary,42815.0,383.0,yes
92,29.0,admin.,secondary,4456.0,114.0,no
93,33.0,management,tertiary,2006.0,134.0,yes
94,43.0,self-employed,secondary,7668.0,92.0,yes
95,62.0,admin.,primary,10704.0,450.0,yes
96,60.0,management,tertiary,27378.0,850.0,no
97,44.0,admin.,secondary,16982.0,583.0,no
98,18.0,student,secondary,23277.0,66.0,yes
99,26.0,student,tertiary,8752.0,670.0,yes
100,51.0,entrepreneur,primary,22804.0,478.0,yes
101,36.0,admin.,secondary,1318.0,221.0,yes
102,45.0,technician,tertiary,-668.0,107.0,yes
103,34.0,management,tertiary,74505.0,702.0,yes
104,49.0,blue-collar,primary,2132.0,211.0,yes
105,66.0,admin.,primary,57750.0,570.0,no
106,35.0,technician,tertiary,70.0,240.0,no
107,57.0,retired,secondary,1196.0,107.0,yes
108,19.0,entrepreneur,primary,72747.0,18.0,no
109,69.0,retired,primary,57413.0,189.0,yes
110,20.0,housemaid,tertiary,21327.0,804.0,yes
111,24.0,student,tertiary,52034.0,782.0,yes
112,59.0,management,tertiary,2033.0,251.0,yes
113,57.0,unemployed,primary,6213.0,473.0,yes
114,54.0,management,tertiary,860.0,203.0,yes
115,47.0,technician,tertiary,4363.0,216.0,no
116,64.0,entrepreneur,secondary,76268.0,607.0,yes
117,47.0,management,tertiary,3327.0,348.0,yes
118,32.0,management,tertiary,46815.0,429.0,yes
119,37.0,technician,tertiary,1619.0,345.0,no
120,37.0,admin.,secondary,32319.0,169.0,yes
121,69.0,technician,primary,769.0,221.0,yes
122,41.0,technician,tertiary,4316.0,256.0,no
123,44.0,management,tertiary,4379.0,100.0,yes
124,51.0,admin.,tertiary,21600.0,617.0,no
125,23.0,student,secondary,2778.0,189.0,yes
126,56.0,services,tertiary,31856.0,666.0,no
127,24.0,technician,tertiary,65490.0,732.0,no
128,63.0,retired,secondary,9835.0,75.0,yes
129,60.0,unemployed,secondary,51671.0,768.0,no
130,48.0,housemaid,secondary,38207.0,617.0,yes
131,37.0,management,tertiary,651.0,228.0,yes
132,49.0,services,primary,46126.0,63.0,yes
133,33.0,services,secondary,43561.0,183.0,yes
134,23.0,services,secondary,11450.0,497.0,yes
135,39.0,technician,tertiary,3619.0,53.0,yes
136,40.0,services,secondary,76895.0,398.0,no
137,46.0,services,secondary,47108.0,545.0,no
138,34.0,technician,tertiary,4144.0,321.0,yes
139,31.0,self-employed,tertiary,53369.0,62.0,yes
140,40.0,housemaid,primary,32268.0,435.0,yes
141,34.0,technician,secondary,716.0,38.0,yes
142,78.0,blue-collar,secondary,1023.0,14.0,yes
143,23.0,services,secondary,17960.0,190.0,no
144,77.0,retired,tertiary,-821.0,214.0,yes
145,78.0,management,tertiary,1928.0,136.0,no
146,41.0,blue-collar,secondary,-185.0,303.0,yes
147,72.0,technician,secondary,3877.0,229.0,yes
148,28.0,admin.,secondary,46472.0,73.0,yes
149,70.0,technician,secondary,769.0,280.0,yes
150,39.0,services,secondary,18834.0,175.0,yes
151,47.0,management,tertiary,86.0,109.0,yes
152,77.0,services,primary,69721.0,810.0,no
153,60.0,entrepreneur,secondary,78362.0,580.0,yes
154,87.0,technician,tertiary,45253.0,440.0,yes
155,52.0,blue-collar,secondary,73044.0,460.0,no
156,74.0,retired,primary,467.0,175.0,yes
157,51.0,management,tertiary,503.0,229.0,no
158,39.0,services,secondary,4231.0,219.0,yes
159,30.0,management,tertiary,3524.0,106.0,yes
160,34.0,unemployed,secondary,2194.0,335.0,no
161,56.0,technician,secondary,-757.0,71.0,no
162,53.0,technician,secondary,2394.0,69.0,yes
163,69.0,admin.,primary,69583.0,545.0,no
164,48.0,blue-collar,tertiary,-789.0,108.0,yes
165,60.0,management,tertiary,827.0,59.0,yes
166,18.0,student,primary,37253.0,225.0,yes
167,41.0,management,secondary,4154.0,276.0,yes
168,69.0,retired,primary,6202.0,209.0,no
169,39.0,admin.,secondary,32007.0,370.0,yes
170,44.0,self-employed,secondary,33575.0,87.0,yes
171,53.0,services,secondary,61073.0,91.0,no
172,32.0,management,tertiary,5490.0,205.0,yes
173,42.0,blue-collar,secondary,34770.0,307.0,no
174,49.0,management,secondary,2567.0,140.0,no
175,21.0,student,secondary,19750.0,430.0,yes
176,75.0,retired,tertiary,3201.0,189.0,yes
177,26.0,technician,secondary,46530.0,418.0,no
178,63.0,retired,secondary,-389.0,203.0,yes
179,23.0,blue-collar,secondary,28430.0,41.0,yes
180,63.0,retired,primary,1475.0,199.0,no
181,39.0,admin.,secondary,2695.0,118.0,yes
182,25.0,student,secondary,70289.0,598.0,yes
183,40.0,blue-collar,secondary,51470.0,344.0,yes
184,32.0,technician,secondary,40764.0,335.0,no
185,58.0,management,tertiary,2322.0,191.0,yes
186,38.0,management,tertiary,3884.0,62.0,yes
187,50.0,blue-collar,secondary,63573.0,10.0,no
188,33.0,technician,tertiary,-745.0,189.0,yes
189,36.0,technician,secondary,4057.0,219.0,no
190,26.0,services,secondary,517.0,82.0,yes
191,35.0,services,secondary,38883.0,427.0,yes
192,59.0,services,tertiary,18005.0,184.0,no
193,18.0,student,secondary,3989.0,215.0,yes
194,35.0,services,secondary,708.0,94.0,yes
195,44.0,blue-collar,primary,238.0,464.0,no
196,82.0,services,secondary,22641.0,614.0,yes
197,34.0,technician,secondary,10062.0,47.0,yes
198,28.0,admin.,secondary,770.0,366.0,no
199,47.0,blue-collar,primary,892.0,180.0,yes
200,35.0,student,tertiary,3771.0,75.0,yes
201,42.0,admin.,secondary,69177.0,115.0,yes
202,32.0,entrepreneur,secondary,48813.0,658.0,no
203,57.0,technician,secondary,23824.0,712.0,yes
204,58.0,management,tertiary,3408.0,199.0,no
205,30.0,technician,secondary,-681.0,258.0,no
206,79.0,housemaid,secondary,38258.0,575.0,no
207,59.0,management,tertiary,2296.0,94.0,yes
208,34.0,admin.,tertiary,983.0,148.0,yes
209,54.0,technician,secondary,3795.0,214.0,yes
210,32.0,technician,tertiary,1853.0,255.0,no
211,36.0,blue-collar,secondary,3966.0,360.0,no
212,30.0,housemaid,secondary,1950.0,299.0,yes
213,37.0,services,secondary,2658.0,117.0,yes
214,41.0,admin.,tertiary,42974.0,724.0,no
215,31.0,admin.,secondary,62443.0,193.0,yes
216,51.0,management,tertiary,61309.0,627.0,yes
217,38.0,management,tertiary,1329.0,92.0,no
218,61.0,retired,secondary,842.0,204.0,yes
219,64.0,retired,secondary,47064.0,53.0,no
220,47.0,management,tertiary,855.0,69.0,yes
221,38.0,management,tertiary,1362.0,171.0,yes
222,42.0,entrepreneur,tertiary,3219.0,271.0,no
223,37.0,blue-collar,secondary,1855.0,647.0,yes
