,age,job,education,balance,pdays,deposit
0,52.0,unemployed,secondary,17884.0,691.0,no
1,32.0,management,tertiary,5266.0,58.0,yes
2,57.0,unemployed,primary,45972.0,353.0,yes
3,42.0,services,secondary,72649.0,645.0,no
4,51.0,services,secondary,-924.0,294.0,yes
5,25.0,blue-collar,secondary,6198.0,225.0,yes
6,32.0,unemployed,primary,10720.0,464.0,no
7,40.0,admin.,secondary,61476.0,307.0,no
8,73.0,blue-collar,tertiary,819.0,340.0,no
9,52.0,management,tertiary,9719.0,75.0,no
10,77.0,student,secondary,75981.0,268.0,no
11,43.0,blue-collar,secondary,28073.0,117.0,yes
12,33.0,technician,tertiary,10162.0,119.0,no
13,42.0,unemployed,tertiary,39477.0,447.0,yes
14,33.0,blue-collar,secondary,992.0,283.0,no
15,22.0,retired,primary,55584.0,710.0,no
16,55.0,admin.,secondary,27470.0,430.0,yes
17,36.0,management,tertiary,779.0,62.0,yes
18,45.0,admin.,secondary,14584.0,645.0,yes
19,33.0,technician,secondary,14962.0,94.0,yes
20,33.0,management,tertiary,1947.0,199.0,yes
21,35.0,technician,secondary,2212.0,82.0,yes
22,26.0,student,secondary,415.0,103.0,yes
23,45.0,technician,tertiary,4273.0,115.0,yes
24,50.0,blue-collar,secondary,64897.0,724.0,no
25,65.0,admin.,secondary,56592.0,415.0,yes
26,77.0,retired,primary,7422.0,66.0,yes
27,40.0,blue-collar,primary,1849.0,384.0,no
28,76.0,services,secondary,80816.0,43.0,yes
29,47.0,management,tertiary,2319.0,100.0,yes
30,30.0,management,tertiary,-301.0,351.0,no
31,46.0,technician,secondary,-347.0,246.0,yes
32,55.0,management,tertiary,46121.0,384.0,yes
33,31.0,admin.,secondary,-847.0,86.0,yes
34,35.0,blue-collar,primary,1169.0,312.0,no
35,52.0,management,secondary,3327.0,73.0,yes
36,46.0,management,tertiary,1610.0,235.0,no
37,58.0,retired,secondary,4507.0,127.0,yes
38,45.0,management,tertiary,78292.0,247.0,no
39,55.0,self-employed,secondary,55688.0,709.0,no
40,48.0,management,tertiary,-452.0,165.0,yes
41,25.0,retired,primary,23433.0,611.0,no
