,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
0,40.0,699.2565235206981,0.0039202284115287525,0.018644988549650292,Nov,1,0
1,83.0,2300.3157379551667,0.009478087031451645,0.0786381642280359,Mar,3,0
2,20.0,2214.525364208818,0.010692675698186993,0.007538185470246236,Mar,1,0
3,12.0,2755.5380115861985,0.1889301134256132,0.19856364863146203,Oct,1,0
4,24.0,2229.626713251601,0.004977718388331196,0.0063327645002910875,Dec,1,0
5,66.0,2849.39012867908,0.004702636131101818,0.05285936079321252,Nov,3,0
6,37.0,1604.0294728056365,0.06895429794529875,0.09689595583173015,Mar,3,0
7,390.0,34629.058023668826,0.11542189860602176,0.16277579495508146,Nov,6,1
8,586.0,26858.287676535434,0.1967244088838065,0.17635159457760735,Sep,2,1
9,27.0,1134.194488613349,0.008671412366815442,0.01816024121143243,Nov,3,0
10,137.0,8537.300576080772,0.049822560274985654,0.01038678648425091,Nov,3,0
11,24.0,1212.0463332070196,0.18791332881874515,0.1872757380936363,May,1,0
12,13.0,777.575017364244,0.005535664276185945,0.021521706412383372,May,2,0
13,506.0,31082.5579026697,0.07330595370033093,0.044157533506430174,Jul,6,1
14,29.0,2647.2093611654514,0.012912078948445725,0.07322281743465335,May,2,0
15,12.0,134.33402233416155,0.03271703897698739,0.03061844304703112,Oct,8,0
16,43.0,2823.3179951807324,0.020523160665685256,0.01862637320639388,May,2,0
17,234.0,30860.757083469525,0.10033284434764082,0.1789137862478723,June,7,0
18,132.0,5743.938512697963,0.0023778869472853956,0.0016483882070223112,Nov,2,1
19,324.0,33525.50616906334,0.12000031041251684,0.11655659329177648,Sep,6,1
20,626.0,25925.14518536929,0.025214671189259935,0.16459342070472788,Aug,2,1
21,175.0,4830.35685594216,0.012418887425840564,0.014591510560640435,May,2,1
22,42.0,652.5484661215428,0.00023251329669723801,0.010888279785078881,May,3,0
23,126.0,37381.867923580015,0.10871637187470287,0.12290081682491201,Sep,1,0
24,22.0,2682.6143078704845,0.011742380393372092,0.036342072331182126,Oct,1,0
25,52.0,2477.3329790371,0.0076095048637153315,0.021267320661696086,Mar,1,0
26,20.0,2039.5834878925948,0.0011418878539701924,0.013838934862497008,Nov,1,0
27,546.0,38144.356611714225,0.08696608933364774,0.10595223798449706,May,4,0
28,43.0,2666.9476459864904,0.15738310388012922,0.10627149065475286,Oct,6,0
29,45.0,2367.5537642935374,0.003464785251141655,0.023097667333728998,Aug,8,0
30,22.0,1824.498093426899,0.032340602787197775,0.05457426125395634,Oct,5,0
31,135.0,492.0158523615307,0.009836268710154753,0.022631501782406416,Oct,1,1
32,12.0,573.4500687348601,0.031899253198981556,0.08256079845947296,May,2,0
33,38.0,4509.722547367832,0.08005624192285278,0.07284477724615757,Nov,6,0
34,26.0,1707.5653491037274,0.003797852794230773,0.0066059079779971185,Jul,2,1
35,1.0,1174.29004026221,0.007364921363902124,0.09672684851938049,May,2,0
36,34.0,2341.3735194771766,0.19583917531366904,0.19765888610760035,Dec,2,0
37,19.0,1952.4255228950205,0.005540570776466851,0.028329923839892752,June,2,0
38,556.0,3620.787303779274,0.15090065235841335,0.12637628637997347,Jul,7,0
39,78.0,86.46951792488743,0.02272961361280343,0.03473768942454421,Nov,1,0
40,0.0,1746.3845012140305,0.013002986813971206,0.023383758526787826,Sep,2,0
41,23.0,3826.1166256242923,0.011557901503356066,0.02480786265927795,Mar,3,0
42,88.0,34219.925529183696,0.04658035215931007,0.034277887167791794,Jul,4,0
43,11.0,674.0600166655615,0.015036331526664833,0.05293947007312364,May,2,0
44,62.0,4457.093991171797,0.008807610177255806,0.014172123192857895,May,1,0
45,88.0,23594.31331549863,0.1361348978926896,0.17781814200273566,Aug,8,0
46,9.0,2782.3254242376092,0.18969362866080527,0.19741825819094055,May,1,0
47,27.0,1850.4328672473148,0.008373606355877344,0.01627010022345162,Mar,3,0
48,11.0,2167.4358172538905,0.0029758256603803833,0.005505079414230733,Nov,1,0
49,45.0,2563.957760173972,0.02282921167121239,0.032498368356277944,Dec,1,0
50,38.0,1306.309053047006,0.006723281869818576,0.0069707994393920685,Nov,2,0
51,21.0,1573.563877812661,0.04577568653173064,0.08179621075536307,Dec,1,0
52,662.0,30074.92066574595,0.03738274274702197,0.023479497049313076,Dec,3,1
53,15.0,1781.7578027591944,0.006165335366577008,0.03970674634728197,Nov,2,0
54,24.0,963.4491436601689,0.009611502535962905,0.008492470435227419,Mar,3,0
55,44.0,2365.678836808018,0.008260478771399933,0.03592157995512413,Oct,2,0
56,52.0,1051.1263391080975,0.009924125231544935,0.03005139606074728,Nov,3,0
57,26.0,2220.103725115629,0.038563220542510004,0.06929230299940985,Aug,1,0
58,33.0,48.060399863153634,0.029516580423098106,0.0713311298016997,Mar,1,0
59,26.0,1046.7151578206353,0.009038898531035752,0.017107236791092453,Mar,2,0
60,38.0,1381.1752815289465,5.936828312455234e-05,0.01882193722825288,Dec,2,0
61,25.0,2593.3006297774486,0.002879721459362982,0.007131721783335513,Dec,2,0
62,92.0,2079.0294604851993,0.009883842782779718,0.10001551815244887,Nov,2,1
63,28.0,2111.949025203414,0.004100121337860672,0.04857446157995339,Nov,3,0
64,28.0,1832.3152079783456,0.0028980968429097188,0.016442299311686594,Nov,1,0
65,21.0,2592.42821686986,0.007432102604223527,0.00216933917352812,Nov,2,0
66,216.0,39501.44751359032,0.10516779089060425,0.06981509240326064,Dec,6,0
67,18.0,1817.4359463867568,0.00721106224648628,0.0012661159269455051,May,2,0
68,262.0,5528.381537826245,0.029508286528697872,0.15045985638769388,Mar,3,1
69,14.0,2199.4166669942465,0.19057631880913628,0.19010030965391347,May,1,0
70,620.0,40335.713819393444,0.0817287465988736,0.10081104061010981,May,1,0
71,9.0,2499.95800353213,0.004412070804123309,0.0104895740160527,Mar,1,0
72,640.0,37956.70230783366,0.014004149251124958,0.08378084963696733,Mar,3,0
73,31.0,2153.8850920742157,0.008720152484054373,0.048184293686076504,June,1,0
74,69.0,1189.748049534065,0.00707859805325027,0.004327302751877282,Jul,2,0
75,4.0,1129.0858625397332,0.028147914978203722,0.04139253100416873,Dec,3,0
76,36.0,442.8047919599314,0.0006252897897440147,0.018642492565008186,Mar,3,0
77,41.0,1234.3070709023943,0.028624863065987435,0.05434328336502973,Nov,3,0
78,43.0,2876.481850822857,0.01147706378979708,0.02047134917634827,June,1,0
