,age,workclass,fnlwgt,education.num,capital.loss,hours.per.week,income
0,27.0,Private,179969.0,10.0,194.0,48.0,<=50K
1,52.0,Private,442207.0,10.0,377.0,52.0,<=50K
2,24.0,Private,119222.0,5.0,267.0,29.0,<=50K
3,28.0,Private,377224.0,7.0,1788.0,46.0,<=50K
4,22.0,?,296165.0,8.0,481.0,22.0,<=50K
5,21.0,Private,622849.0,13.0,140.0,23.0,<=50K
6,23.0,Private,317194.0,9.0,242.0,29.0,<=50K
7,33.0,Private,128142.0,9.0,355.0,49.0,<=50K
8,27.0,Private,556507.0,12.0,422.0,44.0,<=50K
9,36.0,Private,267099.0,9.0,112.0,48.0,<=50K
10,34.0,Private,294759.0,13.0,208.0,59.0,>50K
11,39.0,Private,381180.0,10.0,435.0,42.0,<=50K
12,24.0,Private,157622.0,7.0,303.0,50.0,<=50K
13,54.0,State-gov,454678.0,9.0,61.0,54.0,>50K
14,21.0,Self-emp-inc,1220633.0,9.0,211.0,46.0,<=50K
15,42.0,State-gov,762506.0,10.0,418.0,40.0,<=50K
16,28.0,State-gov,652035.0,9.0,122.0,31.0,<=50K
17,44.0,Private,458786.0,9.0,36.0,38.0,>50K
18,25.0,State-gov,245532.0,2.0,19.0,91.0,<=50K
19,17.0,Private,282965.0,7.0,345.0,17.0,<=50K
20,45.0,Private,121311.0,10.0,349.0,46.0,<=50K
21,68.0,?,398001.0,12.0,396.0,30.0,<=50K
22,35.0,Local-gov,290657.0,9.0,425.0,40.0,<=50K
23,48.0,Private,465765.0,10.0,382.0,50.0,<=50K
24,55.0,Local-gov,331031.0,10.0,531.0,46.0,<=50K
25,57.0,Private,178558.0,6.0,452.0,43.0,<=50K
26,17.0,Local-gov,162546.0,13.0,162.0,44.0,<=50K
27,19.0,Private,452866.0,9.0,413.0,43.0,<=50K
28,21.0,Private,268790.0,9.0,140.0,49.0,<=50K
29,58.0,Private,138719.0,6.0,357.0,46.0,<=50K
30,19.0,?,230176.0,10.0,324.0,36.0,<=50K
31,28.0,Private,82884.0,9.0,212.0,35.0,<=50K
32,65.0,State-gov,182163.0,10.0,19.0,44.0,<=50K
33,39.0,State-gov,164651.0,9.0,471.0,57.0,<=50K
34,47.0,Self-emp-not-inc,301826.0,12.0,530.0,40.0,<=50K
35,26.0,Self-emp-not-inc,412499.0,8.0,445.0,40.0,<=50K
36,43.0,Private,115364.0,12.0,151.0,28.0,<=50K
37,49.0,Local-gov,304413.0,13.0,21.0,48.0,<=50K
38,23.0,Private,513910.0,7.0,423.0,38.0,<=50K
39,46.0,Local-gov,264829.0,9.0,128.0,28.0,<=50K
40,81.0,?,288678.0,15.0,2656.0,17.0,>50K
41,52.0,?,735001.0,9.0,397.0,40.0,<=50K
42,27.0,State-gov,484340.0,8.0,370.0,41.0,<=50K
43,47.0,Private,59756.0,10.0,185.0,45.0,>50K
44,24.0,Private,594000.0,9.0,247.0,48.0,<=50K
45,33.0,Private,297421.0,10.0,541.0,40.0,<=50K
46,62.0,Private,392891.0,13.0,410.0,49.0,>50K
47,30.0,Private,322574.0,10.0,208.0,46.0,<=50K
48,34.0,Private,84058.0,10.0,52.0,41.0,<=50K
49,23.0,Private,198684.0,10.0,296.0,20.0,<=50K
50,20.0,Never-worked,358492.0,12.0,514.0,51.0,>50K
51,41.0,Private,237181.0,9.0,372.0,45.0,<=50K
52,25.0,Private,329863.0,11.0,4225.0,13.0,>50K
53,34.0,Private,162546.0,5.0,430.0,46.0,<=50K
54,40.0,Private,160156.0,9.0,510.0,40.0,<=50K
55,22.0,?,279329.0,10.0,500.0,39.0,<=50K
56,36.0,Private,254382.0,10.0,242.0,47.0,<=50K
57,19.0,Private,120004.0,9.0,9.0,47.0,<=50K
58,43.0,Private,270277.0,8.0,232.0,39.0,>50K
59,48.0,Private,168760.0,10.0,17.0,39.0,>50K
60,19.0,Private,81077.0,9.0,526.0,39.0,<=50K
61,31.0,Private,80906.0,8.0,174.0,38.0,<=50K
62,51.0,Private,445711.0,13.0,102.0,56.0,>50K
63,32.0,Private,301274.0,6.0,439.0,26.0,<=50K
64,20.0,Private,291214.0,10.0,416.0,33.0,<=50K
65,39.0,Local-gov,200733.0,13.0,258.0,43.0,<=50K
66,40.0,Private,274710.0,10.0,260.0,45.0,>50K
67,42.0,Private,217783.0,14.0,359.0,46.0,<=50K
68,58.0,Private,374689.0,3.0,355.0,15.0,<=50K
69,39.0,Private,59621.0,14.0,422.0,45.0,>50K
70,58.0,Private,21129.0,10.0,389.0,53.0,>50K
71,17.0,Private,194491.0,7.0,92.0,20.0,<=50K
72,17.0,Private,124603.0,10.0,320.0,42.0,<=50K
73,51.0,Private,143974.0,6.0,367.0,44.0,<=50K
74,35.0,Private,348578.0,13.0,191.0,38.0,>50K
75,22.0,Private,323580.0,6.0,467.0,13.0,>50K
76,57.0,Private,248529.0,6.0,180.0,31.0,<=50K
77,28.0,Private,141873.0,10.0,115.0,40.0,<=50K
78,49.0,Federal-gov,494453.0,9.0,66.0,45.0,<=50K
79,53.0,Federal-gov,32227.0,9.0,64.0,30.0,<=50K
80,61.0,Private,146881.0,9.0,303.0,35.0,<=50K
81,40.0,Self-emp-not-inc,190889.0,7.0,338.0,6.0,<=50K
82,52.0,Private,25596.0,5.0,76.0,32.0,<=50K
