,age,job,education,balance,pdays,deposit
0,25.0,admin.,secondary,53821.0,212.0,yes
1,34.0,management,tertiary,339.0,354.0,yes
2,33.0,management,primary,2930.0,105.0,no
3,41.0,blue-collar,secondary,80202.0,139.0,no
4,79.0,blue-collar,secondary,56998.0,57.0,no
5,34.0,entrepreneur,tertiary,50925.0,404.0,no
6,36.0,management,tertiary,3538.0,59.0,yes
7,60.0,housemaid,secondary,56751.0,672.0,no
8,35.0,admin.,secondary,12634.0,208.0,no
9,40.0,management,tertiary,7860.0,187.0,yes
10,42.0,blue-collar,secondary,10661.0,670.0,no
11,29.0,technician,tertiary,31117.0,263.0,no
12,31.0,unemployed,tertiary,4144.0,288.0,yes
13,29.0,admin.,secondary,77640.0,399.0,yes
14,40.0,services,secondary,1758.0,180.0,no
15,42.0,retired,tertiary,54842.0,155.0,no
16,33.0,technician,secondary,1747.0,353.0,yes
17,37.0,services,primary,16326.0,156.0,yes
18,44.0,retired,tertiary,0.0,99.0,yes
19,60.0,services,primary,50357.0,42.0,yes
20,35.0,management,tertiary,4276.0,194.0,yes
21,26.0,services,primary,74120.0,702.0,no
22,52.0,technician,secondary,25.0,470.0,yes
23,35.0,management,tertiary,2097.0,212.0,no
24,60.0,unemployed,secondary,35570.0,503.0,yes
25,29.0,technician,tertiary,17537.0,799.0,no
26,54.0,unemployed,secondary,75562.0,318.0,yes
27,35.0,blue-collar,secondary,4256.0,132.0,no
28,76.0,retired,secondary,1376.0,831.0,no
29,51.0,unemployed,primary,79368.0,798.0,no
30,61.0,self-employed,primary,53620.0,305.0,yes
31,47.0,technician,secondary,25952.0,560.0,yes
32,52.0,unemployed,secondary,36712.0,487.0,no
33,54.0,entrepreneur,secondary,33801.0,748.0,yes
34,84.0,housemaid,secondary,4451.0,596.0,yes
35,59.0,technician,secondary,30233.0,107.0,yes
36,41.0,unemployed,tertiary,6066.0,176.0,no
37,65.0,student,secondary,23995.0,784.0,yes
38,29.0,management,primary,7012.0,11.0,yes
39,30.0,management,tertiary,40820.0,251.0,no
40,37.0,self-employed,tertiary,14624.0,226.0,yes
41,34.0,management,tertiary,-493.0,174.0,no
42,60.0,management,secondary,30489.0,664.0,no
43,51.0,management,tertiary,4292.0,214.0,yes
44,30.0,technician,tertiary,-259.0,114.0,yes
45,70.0,entrepreneur,secondary,63514.0,423.0,yes
46,25.0,services,tertiary,2247.0,12.0,yes
47,74.0,services,primary,24388.0,717.0,no
48,70.0,unemployed,tertiary,1616.0,187.0,yes
49,46.0,admin.,tertiary,51970.0,229.0,no
50,60.0,self-employed,primary,27932.0,299.0,no
51,39.0,self-employed,secondary,-748.0,229.0,no
52,32.0,management,primary,27484.0,181.0,no
53,23.0,admin.,secondary,59474.0,417.0,no
54,39.0,admin.,secondary,48885.0,350.0,yes
55,32.0,blue-collar,secondary,-329.0,115.0,no
56,29.0,technician,secondary,4856.0,533.0,no
57,39.0,blue-collar,primary,73438.0,335.0,no
58,63.0,blue-collar,secondary,3405.0,181.0,no
59,28.0,management,primary,211.0,125.0,yes
60,39.0,management,tertiary,2791.0,111.0,yes
61,23.0,services,tertiary,35034.0,454.0,no
62,26.0,technician,tertiary,76097.0,540.0,yes
63,64.0,housemaid,secondary,16535.0,616.0,yes
64,51.0,unemployed,primary,2065.0,518.0,yes
65,25.0,admin.,secondary,41439.0,83.0,yes
66,39.0,management,tertiary,64399.0,225.0,yes
67,33.0,entrepreneur,tertiary,76025.0,405.0,yes
68,29.0,management,tertiary,1491.0,336.0,yes
69,65.0,management,secondary,3258.0,59.0,yes
70,41.0,management,tertiary,1577.0,132.0,no
71,61.0,management,secondary,71992.0,373.0,no
72,73.0,entrepreneur,secondary,21883.0,376.0,yes
73,32.0,entrepreneur,secondary,44167.0,770.0,yes
74,70.0,entrepreneur,tertiary,62959.0,9.0,yes
75,72.0,services,primary,32518.0,819.0,no
76,60.0,management,secondary,21913.0,518.0,no
77,62.0,retired,secondary,145.0,192.0,yes
78,35.0,management,tertiary,14069.0,91.0,yes
79,49.0,management,tertiary,59683.0,106.0,yes
80,26.0,student,secondary,25751.0,73.0,yes
81,60.0,retired,secondary,7837.0,441.0,yes
82,62.0,management,secondary,31788.0,349.0,no
83,55.0,unemployed,primary,35010.0,361.0,no
84,86.0,entrepreneur,primary,29114.0,295.0,no
85,29.0,blue-collar,primary,62380.0,67.0,yes
86,25.0,self-employed,tertiary,58343.0,393.0,yes
87,37.0,management,secondary,71209.0,635.0,no
88,44.0,entrepreneur,secondary,76076.0,293.0,no
