,age,job,education,balance,pdays,deposit
0,38.0,unemployed,tertiary,1456.0,180.0,no
1,51.0,management,tertiary,-210.0,399.0,yes
2,39.0,unemployed,tertiary,2163.0,182.0,yes
3,37.0,services,secondary,1459.0,361.0,yes
4,51.0,services,secondary,-924.0,66.0,no
5,43.0,blue-collar,secondary,722.0,225.0,no
6,32.0,unemployed,primary,-232.0,180.0,yes
7,82.0,admin.,secondary,1239.0,79.0,yes
8,36.0,blue-collar,secondary,819.0,112.0,no
9,33.0,management,tertiary,4242.0,189.0,yes
10,25.0,student,secondary,-685.0,97.0,yes
11,38.0,blue-collar,primary,692.0,572.0,yes
12,28.0,technician,secondary,-790.0,63.0,yes
13,23.0,unemployed,secondary,1144.0,788.0,no
14,28.0,blue-collar,tertiary,992.0,113.0,yes
15,22.0,retired,secondary,823.0,426.0,yes
16,55.0,admin.,tertiary,89.0,202.0,yes
17,40.0,management,secondary,779.0,346.0,no
18,40.0,admin.,secondary,3632.0,133.0,no
19,52.0,technician,tertiary,4010.0,265.0,no
20,33.0,management,tertiary,1947.0,199.0,yes
21,58.0,technician,secondary,2212.0,367.0,yes
22,21.0,student,secondary,415.0,103.0,yes
23,36.0,technician,tertiary,4273.0,228.0,no
24,36.0,blue-collar,secondary,-816.0,212.0,no
25,32.0,admin.,tertiary,1831.0,187.0,yes
26,39.0,retired,secondary,1946.0,180.0,no
27,54.0,blue-collar,primary,1849.0,611.0,no
28,62.0,services,tertiary,9627.0,214.0,yes
29,23.0,management,tertiary,2319.0,271.0,no
30,48.0,management,tertiary,10651.0,67.0,yes
31,32.0,technician,tertiary,-347.0,76.0,no
32,36.0,management,tertiary,2312.0,100.0,no
33,41.0,admin.,secondary,-847.0,257.0,yes
34,39.0,blue-collar,secondary,1169.0,198.0,yes
35,38.0,management,tertiary,3327.0,73.0,yes
36,55.0,management,tertiary,1610.0,65.0,yes
37,72.0,retired,primary,4507.0,184.0,yes
38,36.0,management,tertiary,1626.0,76.0,yes
39,36.0,self-employed,tertiary,927.0,83.0,yes
40,25.0,management,tertiary,-452.0,108.0,yes
41,76.0,retired,primary,1528.0,156.0,no
42,25.0,student,secondary,1359.0,211.0,yes
43,34.0,blue-collar,secondary,2988.0,94.0,no
44,51.0,management,tertiary,2260.0,436.0,yes
45,52.0,management,tertiary,9307.0,205.0,no
46,36.0,services,secondary,1664.0,121.0,yes
47,84.0,blue-collar,primary,1367.0,84.0,yes
48,70.0,retired,primary,-359.0,186.0,yes
49,72.0,retired,secondary,3144.0,421.0,yes
50,43.0,technician,secondary,827.0,213.0,yes
51,39.0,management,primary,1604.0,307.0,no
52,58.0,retired,secondary,2682.0,32.0,yes
53,24.0,blue-collar,secondary,2054.0,369.0,yes
54,37.0,management,tertiary,70.0,201.0,yes
55,42.0,blue-collar,primary,2720.0,273.0,no
56,34.0,technician,primary,-116.0,305.0,yes
57,38.0,management,tertiary,4042.0,266.0,yes
58,44.0,technician,secondary,4518.0,387.0,yes
59,43.0,management,tertiary,4460.0,423.0,yes
60,34.0,technician,secondary,1698.0,104.0,no
61,35.0,management,tertiary,1007.0,96.0,yes
62,33.0,management,tertiary,2157.0,218.0,no
63,81.0,retired,secondary,3250.0,72.0,yes
64,55.0,technician,secondary,289.0,130.0,yes
65,56.0,technician,secondary,2556.0,207.0,yes
66,56.0,retired,secondary,923.0,503.0,yes
67,28.0,admin.,secondary,1133.0,128.0,yes
68,54.0,retired,primary,-566.0,9.0,yes
69,40.0,blue-collar,secondary,3032.0,623.0,no
70,33.0,services,secondary,914.0,233.0,yes
71,62.0,technician,primary,7597.0,97.0,no
72,37.0,management,tertiary,1977.0,67.0,yes
73,67.0,retired,primary,3810.0,220.0,no
74,46.0,admin.,secondary,3064.0,536.0,yes
75,35.0,management,tertiary,3119.0,69.0,yes
76,46.0,admin.,secondary,4172.0,426.0,yes
77,64.0,retired,primary,3677.0,202.0,yes
78,31.0,management,tertiary,-127.0,64.0,yes
79,22.0,student,secondary,3816.0,89.0,yes
80,27.0,admin.,secondary,3869.0,111.0,yes
81,29.0,admin.,secondary,5571.0,1.0,no
82,46.0,services,secondary,593.0,198.0,yes
83,36.0,management,tertiary,3246.0,96.0,no
84,76.0,retired,secondary,3913.0,125.0,yes
85,55.0,technician,secondary,-586.0,211.0,no
86,40.0,management,tertiary,3283.0,94.0,no
87,36.0,technician,secondary,3835.0,191.0,no
88,29.0,management,tertiary,28899.0,26.0,yes
89,28.0,technician,secondary,310.0,174.0,yes
90,57.0,self-employed,tertiary,426.0,730.0,no
