,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,Male,Yes,0,Not Graduate,Yes,1354.0,23804.24083795957,20.0,480,1,Semiurban,N
1,Male,No,1,Graduate,No,1121.0,3317.3728988845105,156.0,240,1,Rural,Y
2,Female,No,0,Graduate,No,13509.0,4211.369294641128,160.0,360,1,Semiurban,Y
3,Male,Yes,0,Not Graduate,No,10202.0,730.1752697774468,101.0,360,1,Semiurban,N
4,Male,Yes,0,Graduate,No,5366.0,1880.3677987872484,108.0,360,0,Urban,N
5,Male,Yes,0,Not Graduate,No,6657.0,32741.00598406492,101.0,360,1,Semiurban,N
6,Male,Yes,1,Not Graduate,No,23284.0,9246.737269164383,130.0,360,1,Urban,Y
7,Male,Yes,0,Graduate,No,2960.0,1617.2243619070362,118.0,360,1,Semiurban,N
8,Male,Yes,0,Not Graduate,No,9390.0,9665.331884484538,97.0,360,1,Rural,N
9,Male,Yes,0,Not Graduate,No,1753.0,1203.4722129442048,94.0,360,1,Rural,Y
10,Female,Yes,0,Graduate,No,256.0,13695.920565443581,124.0,360,1,Semiurban,Y
11,Female,Yes,1,Graduate,No,1135.0,13559.169640473852,500.0,360,1,Urban,N
12,Female,No,3+,Graduate,Yes,38376.0,29147.164989890058,561.0,360,1,Semiurban,N
13,Female,Yes,1,Graduate,No,3925.0,2350.588836353916,121.0,360,1,Semiurban,Y
14,Male,Yes,3+,Graduate,No,38432.0,11615.366017165506,321.0,180,1,Rural,Y
15,Male,No,1,Graduate,No,559.0,31949.569193917996,178.0,360,0,Urban,N
16,Female,Yes,3+,Graduate,No,13768.0,22774.66802249691,541.0,360,0,Urban,N
17,Female,No,3+,Not Graduate,No,3038.0,28928.530092041092,301.0,180,1,Semiurban,Y
18,Male,Yes,0,Graduate,No,22265.0,4500.846522627982,163.0,360,1,Urban,Y
19,Male,Yes,3+,Graduate,No,12951.0,30789.82972612918,339.0,360,1,Semiurban,Y
20,Male,No,2,Graduate,No,4285.0,3147.8767129156713,146.0,360,1,Semiurban,Y
21,Female,No,0,Graduate,No,4763.0,11027.335999309571,295.0,360,0,Urban,N
22,Female,No,2,Not Graduate,No,11547.0,23699.902530961488,438.0,180,1,Semiurban,Y
23,Male,Yes,0,Graduate,No,2090.0,2559.9792833073443,154.0,360,1,Semiurban,Y
24,Female,No,3+,Graduate,Yes,26412.0,24114.979975462335,543.0,84,1,Semiurban,Y
25,Female,Yes,2,Not Graduate,No,16506.0,9833.017722351744,432.0,360,1,Semiurban,Y
26,Female,Yes,3+,Graduate,No,1903.0,27678.494327083547,559.0,360,1,Urban,Y
27,Male,No,0,Not Graduate,No,2037.0,722.8603699350741,100.0,480,1,Semiurban,Y
28,Male,Yes,0,Graduate,No,9046.0,3124.3784518938232,164.0,360,0,Urban,N
29,Female,No,3+,Graduate,No,378.0,27481.127471015912,560.0,360,1,Rural,Y
30,Male,Yes,1,Graduate,No,21642.0,12660.685035883378,245.0,360,0,Urban,N
31,Female,Yes,1,Graduate,No,8495.0,31284.35989995491,497.0,360,0,Urban,N
32,Female,No,3+,Graduate,No,32079.0,28357.147715008028,555.0,180,1,Urban,Y
33,Male,Yes,0,Graduate,No,2255.0,21.31747431243316,96.0,360,1,Rural,Y
34,Male,Yes,0,Not Graduate,Yes,669.0,10566.637022345507,109.0,180,0,Urban,N
35,Female,Yes,1,Graduate,No,2454.0,29370.78653786541,518.0,360,0,Semiurban,N
36,Female,No,3+,Graduate,No,2436.0,3335.849179947041,563.0,360,1,Rural,Y
37,Female,No,1,Graduate,No,10692.0,29022.52524837166,437.0,360,1,Urban,Y
38,Male,Yes,2,Graduate,No,1135.0,1527.510867606937,111.0,360,1,Semiurban,Y
39,Male,Yes,1,Graduate,No,11828.0,26862.541315184753,158.0,360,0,Urban,N
40,Female,No,1,Graduate,No,26209.0,3958.1038501862995,169.0,360,0,Urban,N
41,Male,Yes,2,Graduate,No,1254.0,615.3997039481446,140.0,360,1,Urban,Y
42,Male,Yes,1,Graduate,No,2506.0,324.1839058839203,157.0,360,1,Urban,Y
43,Male,Yes,2,Not Graduate,No,13440.0,10041.642527445387,141.0,180,1,Rural,Y
44,Female,Yes,2,Graduate,No,30299.0,30858.87745316653,531.0,360,0,Urban,N
45,Male,Yes,0,Graduate,No,3065.0,523.4727162479219,94.0,360,1,Rural,N
46,Female,No,3+,Not Graduate,No,12054.0,25560.580729333007,278.0,360,1,Semiurban,Y
47,Male,Yes,3+,Graduate,No,12877.0,15222.409348226583,325.0,360,1,Semiurban,Y
48,Female,Yes,3+,Graduate,No,26676.0,3040.0306617025735,550.0,360,1,Urban,Y
49,Male,Yes,0,Not Graduate,No,23570.0,10378.696628089932,104.0,360,1,Urban,Y
50,Male,Yes,1,Graduate,No,5567.0,23788.33811753718,246.0,360,1,Urban,N
51,Male,Yes,1,Graduate,No,22352.0,8862.750666050058,255.0,360,1,Urban,N
52,Male,No,0,Graduate,No,15794.0,2314.9647359827936,161.0,360,0,Urban,N
53,Male,Yes,0,Graduate,No,13370.0,2676.29922180828,125.0,360,0,Urban,N
54,Male,Yes,0,Not Graduate,No,1441.0,33337.436565611024,114.0,360,1,Rural,Y
55,Female,Yes,3+,Graduate,No,5144.0,26323.11964418842,100.0,360,1,Semiurban,Y
56,Male,No,3+,Not Graduate,No,24640.0,22775.841739774496,444.0,180,1,Urban,Y
57,Male,No,0,Not Graduate,Yes,1185.0,2559.318226784648,97.0,480,1,Rural,N
