Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural,N
Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,N
Male,Yes,3+,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,3500,1083.0,135,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N
Male,No,0,Not Graduate,No,3598,1287.0,100,360,1,Rural,N
Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N
Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
Male,Yes,0,Not Graduate,No,3814,1483.0,124,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N
Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
Male,No,0,Not Graduate,No,2346,1600.0,132,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y
Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,2947,1664.0,70,180,0,Urban,N
Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N
Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural,Y
Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2600,1700.0,107,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,N
Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban,N
Male,No,3+,Not Graduate,No,4707,1993.0,148,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural,Y
Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,3083,2168.0,126,360,1,Urban,Y
Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N
Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban,Y
Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,1958,2436.0,131,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y
