ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
51,4522.409524,0.015757576,0.042922078,May,2,0
154,4800.574762,0.014473684,0.032872807,Oct,2,0
96,4803.82717,0.012794613,0.02630097,Nov,3,0
130,4994.848002,0.019799499,0.036825949,Sep,2,0
78,5097.41833,0.014132104,0.030390424,Nov,3,1
100,5212.708333,0.00952381,0.025768619,Nov,2,1
126,5276.227193,0.011548556,0.033933258,Dec,2,0
96,5286.208333,0.011,0.024119048,Nov,2,0
32,5330.633333,0.008108108,0.051351351,Aug,2,0
156,5432.836783,0.010009921,0.029074729,May,2,0
69,5485.105556,0.010526316,0.017493734,Mar,1,1
19,5538.916667,0.024,0.055119048,May,2,0
106,5633.538274,0.008878505,0.017232253,May,3,0
70,5778.966667,0.005921856,0.023453364,Nov,2,0
96,5947.97123,0.0125,0.028333333,Nov,2,1
179,5996.025,0.010388889,0.038277778,May,2,0
35,5999.808333,0.005405405,0.027207207,Dec,2,0
173,6014.398401,0.009530632,0.025130309,Nov,3,1
83,6072.032391,0.007058824,0.024023709,Nov,3,1
157,6123.741494,0.007198364,0.019816374,Nov,2,1
98,6212.779517,0.024162985,0.033991575,Nov,3,0
131,6225.988835,0.003562341,0.025012117,Nov,2,1
119,6245.704152,0.003125,0.012179841,Dec,3,1
104,6254.420122,0.028065242,0.036927442,May,3,0
128,6483.0804,0.003307888,0.012517824,Nov,2,0
139,6566.867562,0.003477444,0.015531015,Nov,2,0
106,6617.791228,0.009047619,0.026412307,Nov,3,1
193,6784.671131,0.004931973,0.021157516,Nov,2,1
169,6920.973243,0.005268892,0.016769542,Nov,1,0
127,6931.049725,0.004347826,0.015855776,May,2,0
230,6978.613711,0.015327635,0.036530714,Jul,2,0
137,7012.266796,0.008321168,0.01964546,Nov,1,1
170,7128.75377,0.003370787,0.016081238,Nov,2,1
122,7141.214642,0.012926829,0.01962467,Nov,3,0
313,7428.181584,0.002509267,0.013416263,May,2,0
245,7569.248612,0.007646236,0.016468484,Nov,3,0
120,7604.397831,0.015762274,0.030675226,Jul,2,1
216,7761.034859,0.007542901,0.022135148,Nov,2,1
176,7767.32556,0.006045198,0.019212627,Nov,2,0
154,7835.874629,0.012549679,0.022587818,Aug,3,0
154,7838.556598,0.00376506,0.014926307,Nov,3,0
195,7980.363439,7.5e-05,0.005865824,Nov,2,1
222,8068.742154,0.008325792,0.02329814,Nov,2,0
213,8125.852288,0.002790698,0.017631698,Dec,4,0
146,8150.556716,0.001290323,0.01127957,Nov,2,0
202,8217.678753,0.001904762,0.013668745,Nov,2,1
169,8276.292565,0.002406417,0.016051967,Nov,4,0
292,8282.214508,0.000977199,0.005669849,Nov,2,0
186,8425.870475,0.003403141,0.015721509,Nov,2,0
310,8468.339278,0.002821317,0.012414294,Sep,2,0
156,8613.257312,0.006289308,0.015117319,Nov,1,0
65,8646.0,0.0,0.011764706,Mar,2,0
113,8699.407065,0.019308469,0.047477294,May,2,0
105,8704.372405,0.026260504,0.050212934,May,3,0
140,8961.407671,0.00137931,0.012980564,Mar,2,0
151,9018.123741,0.012820513,0.02459296,Nov,1,0
222,9049.534024,0.008536232,0.018457454,Nov,1,0
409,9100.402959,0.004301075,0.015934735,Jul,2,0
246,9227.371429,0.006425703,0.024959839,Oct,4,0
231,9230.890838,0.006458333,0.021838687,Nov,3,0
280,9247.383869,0.003424658,0.016184197,Nov,2,0
279,9485.374568,0.003113824,0.018561894,Nov,2,0
266,9770.812093,0.007348856,0.024720163,Nov,2,0
440,9951.869139,0.00185022,0.01009842,May,2,0
238,9956.225533,0.0052,0.016955684,Nov,2,1
179,10415.78364,0.002551834,0.020876741,Nov,2,0
290,11240.97669,0.012382578,0.024237631,Nov,3,0
231,11246.13379,0.001746725,0.010029112,Nov,2,0
82,11257.1083,0.005574913,0.019401736,Nov,2,0
221,11431.00124,0.011148992,0.021904109,Nov,2,1
397,11940.0165,0.006959671,0.009804129,Nov,1,1
309,12158.19639,0.007586207,0.025532176,Nov,2,1
271,12292.46381,0.005995204,0.02001083,Jul,2,0
374,12499.37711,0.00198939,0.010782459,Nov,2,0
346,12541.77628,0.001709402,0.006473478,Aug,2,1
175,12634.62089,0.001156069,0.022134495,May,2,0
117,13158.66667,0.006896552,0.041810345,May,2,0
362,13259.29396,0.002883379,0.008837606,May,2,0
470,14129.8808,0.0,0.00362107,Nov,4,1
324,14213.63652,0.002063983,0.010072239,Nov,2,1
157,16093.30941,0.007903295,0.027247449,June,2,0
423,17086.23424,0.006293706,0.02159902,Nov,2,0
534,18504.12621,0.010856514,0.023309001,Nov,2,1
